RAO,Coeff,Res_Spec,phase,Norm_Spec,
1+0j,0,0,0,0,
1.0000046477760898-0.00022470160301405227j,0,0,0.000224701,0,
1.000012597905117-0.0003921277297885522j,0,0,0.000392123,0,
1.0000234075597063-0.0005107058012333376j,0,0,0.000510694,0,
1.0000366218624523-0.0005888624443687423j,0,0,0.000588841,0,
1.0000517776474813-0.0006350239188891825j,0,0,0.000634991,0,
1.00006840651167-0.0006576164677725652j,0,0,0.000657571,0,
1.000086037155721-0.000665066590339796j,8.89E-135,0,0.000665009,0,
1.0001028920832649-0.0008201327331368696j,3.95E-79,9.879597696567e-311,0.000820048,0.00E+00,
1.0001027782067209-0.0009491836805740069j,1.45E-49,1.79E-192,0.000949086,1.31E-190,
1.0001741895253051-0.0012325185605760115j,1.03E-32,4.63E-125,0.001232303,3.39E-123,
1.0000949106365395-0.0014020318972942079j,1.49E-22,1.98E-84,0.001401898,1.45E-82,
1.0001227043634071-0.0017687117387807161j,3.77E-16,8.21E-59,0.001768493,6.01E-57,
1.0000953665155994-0.0020307145114472104j,5.84E-12,4.73E-42,0.002030518,3.46E-40,
1.0000859995213331-0.00237750092633021j,3.92E-09,9.62E-31,0.002377292,7.04E-29,
1.00010471643637-0.0027138885014415214j,3.56E-07,6.49E-23,0.002713598,4.75E-21,
1.0005132978175384-0.0031787312434956804j,8.63E-06,2.25E-17,0.00317709,1.65E-15,
1.0000952707075554-0.0036427730368438624j,8.58E-05,2.20E-13,0.00364241,1.61E-11,
1.0000756088703073-0.004094500473704032j,0.000460841,1.83E-10,0.004094168,1.34E-08,
1.0000747841712934-0.004628941408096649j,0.001601645,2.67E-08,0.004628562,1.96E-06,
1.0001024687177036-0.005244820756033211j,0.004070497,1.12E-06,0.005244235,8.20E-05,
1.0002614233751366-0.005827537159150109j,0.008231007,1.86E-05,0.005825948,0.001362031,
1.00184656987766-0.006538650837869043j,0.014068663,0.000158634,0.006526506,0.01161637,
1.000728843808473-0.007304348358600135j,0.021115875,0.00080684,0.007298899,0.059082871,
1.0002202787470071-0.008044767609988837j,0.028791147,0.002791408,0.008042822,0.204407811,
1.0001297850299709-0.008910088457258184j,0.036466379,0.007185057,0.008908697,0.526143713,
1.0001016369716833-0.009755998784945593j,0.043613872,0.014701979,0.009754698,1.076589069,
1.0001038080849018-0.010843240810735903j,0.049878308,0.025148521,0.010841691,1.841563153,
1.0001347660177733-0.011903705572975648j,0.055069405,0.037365413,0.01190154,2.73617553,
1.0002060715922878-0.013020979082487397j,0.059131362,0.04966218,0.013017561,3.636636953,
1.0003395005895683-0.014371630073567081j,0.062103542,0.060407078,0.014365764,4.423458899,
1.0005742619189713-0.015819711479625718j,0.064084309,0.068455198,0.015809315,5.012802553,
1.0011584233764257+0.00032763501168757317j,0.06520543,0.073305442,-0.000327256,5.367973763,
1.0020433626085756-0.001314494349578741j,0.065616219,0.075037412,0.001311813,5.494801584,
1.0038918433631956-0.0030191366099624538j,0.065482433,0.074152922,0.003007423,5.430032599,
1.0081290008799175-0.004905525981191511j,0.065013674,0.071446859,0.004865932,5.231874389,
1.0162116576143632-0.0068754137485966555j,0.064399096,0.067692054,0.006765627,4.956919431,
1.0205671125102451-0.009016238038812682j,0.063241505,0.062416378,0.008834307,4.570594902,
1.0153352119909345-0.01124129438911926j,0.061277539,0.055582742,0.011071058,4.070184867,
1.0088060413573068-0.01378500010446309j,0.059106023,0.048734594,0.013663818,3.568712155,
1.0053676065601616-0.016567939941289897j,0.057036851,0.04254625,0.016477993,3.115555237,
1.0034356380445584-0.019932638043092126j,0.055008494,0.036946684,0.019861779,2.705513055,
1.002358612128382-0.018429645484775565j,0.053004682,0.031920575,0.018384208,2.337463692,
1.001783490647367-0.008221246604302311j,0.051027371,0.027456337,0.008206426,2.010558734,
1.0012248127792622-0.011132176626888906j,0.04908303,0.023529646,0.0111181,1.723016995,
1.0007552527660988-0.015181979007563455j,0.047181974,0.020107384,0.015169358,1.472413327,
1.0003465385405104-0.019056842541036706j,0.045332341,0.017146713,0.019047937,1.255610811,
0.9999210709125885-0.023958264951118385j,0.043539015,0.014599585,0.023955573,1.069091013,
0.9995556887374101-0.027253439490578037j,0.041807676,0.012419216,0.0272588,0.909428056,
0.9994626357796298-0.02250440831372479j,0.040142544,0.010560224,0.022512704,0.773298732,
0.9993334954603921-0.018631916126684495j,0.03854239,0.008978206,0.018642183,0.65745152,
0.9989565408464653-0.024179315189986804j,0.037005853,0.007633803,0.024199846,0.559004258,
0.9985694425966594-0.028891230002253177j,0.035534451,0.006493596,0.028924551,0.475509758,
0.9983875608121655-0.02708085962345014j,0.034128344,0.00552777,0.027117947,0.404784741,
0.9982293644972353-0.024216609773028457j,0.032785007,0.004709684,0.024254807,0.344878354,
0.9980104951131591-0.022583086520839218j,0.031501791,0.00401657,0.022624244,0.294123353,
0.997761745414819-0.021314433982633125j,0.030276909,0.003429265,0.021358999,0.25111648,
0.9974601786165167-0.021496756775134414j,0.02910816,0.002931386,0.021548158,0.214658049,
0.9969602569638867-0.028505504087023462j,0.027993142,0.002509012,0.02858463,0.183728659,
0.996345659831981-0.0368094138514025j,0.026929799,0.002150437,0.036927627,0.157471111,
0.9958902386071673-0.0395843362518553j,0.025916122,0.001845773,0.039726777,0.13516133,
0.9954882835657615-0.04071644538813056j,0.024949764,0.001586625,0.040878194,0.116184572,
0.9950660341515309-0.041787821871324536j,0.024028103,0.00136589,0.041970363,0.100020701,
0.9945610780565912-0.04386713710877215j,0.023148587,0.0011776,0.044078463,0.086232696,
0.9939494922287314-0.047254951921532284j,0.022309075,0.001016773,0.047506837,0.074455738,
0.9933312054836924-0.05014301813271308j,0.021508022,0.000879256,0.050436845,0.064385713,
0.9928246290098958-0.0507566114765159j,0.020743928,0.000761539,0.051078972,0.055765592,
0.9924004881637507-0.049915378483991545j,0.020015021,0.000660632,0.050255265,0.048376425,
0.9919819679576926-0.048728957714115936j,0.019319087,0.000573983,0.049083371,0.042031336,
0.9915114451510907-0.0479134461711528j,0.018654002,0.000499444,0.048286082,0.036573032,
0.9909443629987562-0.04803983955644013j,0.018017859,0.000435213,0.048440922,0.031869557,
0.9902925206455904-0.048938531523481196j,0.017409257,0.000379788,0.049378088,0.027810923,
0.9895738115512104-0.050351981113164995j,0.016826914,0.000331899,0.050838648,0.024304132,
0.9888054240098562-0.052036100173884194j,0.016269599,0.000290463,0.052576717,0.021269877,
0.9879853578740269-0.05405465087332339j,0.015736084,0.000254562,0.054657502,0.018640937,
0.9870577816409648-0.05718231521172192j,0.015225015,0.000223407,0.057867406,0.016359535,
0.98604461120617-0.06091944657911199j,0.014735285,0.000196333,0.061703207,0.014376973,
0.9849829292868757-0.06464151038555611j,0.014265865,0.000172773,0.065533062,0.012651734,
0.983918832048229-0.06772689313379972j,0.013815781,0.000152243,0.068725416,0.011148373,
0.982871537987312-0.07002008160907669j,0.013384095,0.000134329,0.071120165,0.009836576,
0.981812695500913-0.07193437916574762j,0.012969844,0.000118676,0.073136227,0.008690346,
0.9807174229449108-0.07375511590651221j,0.012572095,0.000104978,0.075063964,0.007687276,
0.9795585647198565-0.07576633798486601j,0.012189975,9.30E-05,0.077193735,0.006810157,
0.9783065518811009-0.07825065805039054j,0.011822661,8.24E-05,0.079815902,0.006033945,
0.9769117705792432-0.08172719513306427j,0.011469417,7.32E-05,0.083464373,0.005360253,
0.9753413855550895-0.08645522399793867j,0.011129591,6.50E-05,0.088409919,0.004759787,
0.9736222346285406-0.09191043404973247j,0.01080251,5.79E-05,0.094121583,0.004239872,
0.9717912893141867-0.09755815118497832j,0.010487539,5.15E-05,0.1000548,0.003771216,
0.9698972314478002-0.10286732280820668j,0.010184079,4.60E-05,0.105665006,0.003368465,
0.9680000593240634-0.10731098612070741j,0.009891565,4.10E-05,0.110407634,0.003002327,
0.9661186220813722-0.11075887653412092j,0.009609423,3.66E-05,0.114144815,0.002680126,
0.9641993751551005-0.11370234389420247j,0.009337128,3.28E-05,0.117381995,0.002401862,
0.9622254391829674-0.11633656749834477j,0.009074266,2.93E-05,0.120319652,0.002145566,
0.9601779647046246-0.11885106189441234j,0.008820443,2.63E-05,0.123153823,0.001925883,
0.9580360044100075-0.12143383397910926j,0.008575288,2.36E-05,0.126080545,0.001728169,
0.9557765638592811-0.12427121755767268j,0.008338443,2.12E-05,0.129295854,0.001552423,
0.9533743063879061-0.1275475538489789j,0.008109572,1.90E-05,0.132995667,0.001391322,
0.9508189540109828-0.13131780538184235j,0.007888357,1.71E-05,0.137242,0.00125219,
0.9481121959295682-0.13548039154326638j,0.007674425,1.54E-05,0.14193405,0.001127703,
0.9452478727586662-0.13996616206738127j,0.007467395,1.38E-05,0.147005311,0.001010539,
0.9422206856436859-0.14470621238786915j,0.007266905,1.25E-05,0.152389276,0.000915344,
0.9390264062762186-0.14963194861663245j,0.007072617,1.12E-05,0.15801944,0.000820148,
0.9356620388350095-0.15467516502138612j,0.00688421,1.02E-05,0.163829296,0.00074692,
0.9321259338184471-0.15976813283551802j,0.006701386,9.17E-06,0.16975234,0.000671496,
0.9284178062963213-0.16484387695119876j,0.006523859,8.28E-06,0.175722258,0.000606324,
0.9245086794126968-0.1699563718843816j,0.006351312,7.49E-06,0.181804372,0.000548474,
0.9203727713503612-0.17517932826372937j,0.006183498,6.77E-06,0.18808544,0.00049575,
0.9160092028571163-0.1805004772917129j,0.00602025,6.13E-06,0.194558327,0.000448885,
0.9114172747876031-0.18590743913374905j,0.005861408,5.54E-06,0.201215896,0.00040568,
0.9065964832133756-0.19138773876215417j,0.005706818,5.02E-06,0.208051013,0.000367602,
0.9015465335057279-0.19692882213850227j,0.005556334,4.55E-06,0.215056541,0.000333185,
0.8962673533508031-0.20251807271741704j,0.005409815,4.12E-06,0.222225344,0.000301697,
0.8907591046593649-0.2081428282508301j,0.005267126,3.74E-06,0.229550286,0.000273871,
0.8850221943366061-0.21379039786793852j,0.005128138,3.39E-06,0.237024232,0.000248241,
0.879039605239003-0.21946918470269874j,0.00499266,3.08E-06,0.244667372,0.000225541,
0.8727387576960969-0.2252452484606574j,0.004860304,2.79E-06,0.252578278,0.000204305,
0.8661163940543164-0.2310910758497546j,0.004730948,2.53E-06,0.260738965,0.000185266,
0.8591787093418913-0.2369687437595608j,0.004604509,2.30E-06,0.26911766,0.000168423,
0.8519328137432036-0.24284086476289934j,0.004480905,2.09E-06,0.277682595,0.000153045,
0.8443867518642036-0.24867069028502437j,0.004360056,1.90E-06,0.286402,0.000139132,
0.836549507382463-0.25442221177113766j,0.004241888,1.72E-06,0.295244102,0.000125951,
0.8284309933249006-0.26006025924354487j,0.004126324,1.56E-06,0.304177133,0.000114235,
0.8200420283084556-0.2655505966324373j,0.004013296,1.42E-06,0.313169322,0.000103983,
0.8113942991688312-0.2708600132719693j,0.003902732,1.29E-06,0.322188899,9.45E-05,
0.8025003104889847-0.2759564109756147j,0.003794568,1.17E-06,0.331204093,8.57E-05,
0.7933647551252909-0.28081181438688135j,0.003688706,1.06E-06,0.34018981,7.76E-05,
0.7838187599550971-0.28546263368691077j,0.003584447,9.64E-07,0.349264039,7.06E-05,
0.7738193801992485-0.28991261306983585j,0.003481603,8.75E-07,0.358465125,6.41E-05,
0.7634032248251674-0.29414125613051995j,0.003380278,7.93E-07,0.367772363,5.81E-05,
0.7526072539069698-0.2981297201598057j,0.003280561,7.18E-07,0.377165045,5.26E-05,
0.7414687083258563-0.30186092304203005j,0.003182538,6.51E-07,0.386622468,4.77E-05,
0.7300250341827244-0.3053196354493714j,0.003086283,5.89E-07,0.396123926,4.31E-05,
0.7183138029060522-0.308492558240555j,0.002991863,5.33E-07,0.405648714,3.90E-05,
0.706372628096268-0.3113683850301451j,0.002899341,4.82E-07,0.415176125,3.53E-05,
0.6942390801929549-0.31393784995632906j,0.002808769,4.36E-07,0.424685454,3.19E-05,
0.6819506000833947-0.31619376073856964j,0.002720197,3.94E-07,0.434155997,2.89E-05,
0.6695444127902103-0.3181310171805053j,0.002633667,3.56E-07,0.443567048,2.61E-05,
0.6570574423824512-0.3197466153367902j,0.002549216,3.21E-07,0.4528979,2.35E-05,
0.6445262292485997-0.3210396376238778j,0.002466877,2.90E-07,0.46212785,2.12E-05,
0.6319260884126224-0.32204470882099734j,0.002386548,2.62E-07,0.471317143,1.92E-05,
0.6187262019883412-0.32304922538191333j,0.002307039,2.36E-07,0.481186483,1.73E-05,
0.6048891556040623-0.3240205412832519j,0.00222823,2.13E-07,0.491774209,1.56E-05,
0.5905335010857363-0.3248443441188436j,0.002150324,1.91E-07,0.502909408,1.40E-05,
0.5757784111718052-0.3254170686682902j,0.002073506,1.72E-07,0.514421166,1.26E-05,
0.5607432332335711-0.32564694691267415j,0.00199795,1.54E-07,0.526138571,1.13E-05,
0.5455468700569237-0.32545474026230936j,0.001923817,1.38E-07,0.53789071,1.01E-05,
0.5303070298890376-0.32477415535152626j,0.001851255,1.23E-07,0.549506669,9.01E-06,
0.5151393911761282-0.3235519485029079j,0.001780401,1.10E-07,0.560815536,8.06E-06,
0.5001567285936901-0.3217477281140439j,0.001711382,9.86E-08,0.571646397,7.22E-06,
0.4854680461714288-0.31933346840848725j,0.001644313,8.80E-08,0.581828339,6.44E-06,
0.4711777606551641-0.3162927518551515j,0.001579303,7.85E-08,0.59119045,5.75E-06,
0.45738497387764243-0.3126197607564236j,0.001516449,7.00E-08,0.599561816,5.13E-06,
0.4441828670067318-0.3083180407382627j,0.001455841,6.25E-08,0.606771524,4.58E-06,
0.43165824229367467-0.30339905991065225j,0.001397562,5.57E-08,0.612648661,4.08E-06,
0.41989122954341884-0.29788058714583465j,0.001341687,4.97E-08,0.617022314,3.64E-06,
0.40895516513926994-0.29178491117596117j,0.001288283,4.44E-08,0.61972157,3.25E-06,
0.3989147996850209-0.2851372933047811j,0.00123741,3.96E-08,0.620578321,2.90E-06,
0.3892951469702038-0.27807430837859515j,0.001188201,3.54E-08,0.62026028,2.59E-06,
0.37969988692899936-0.27072338214070035j,0.001139993,3.16E-08,0.619393012,2.31E-06,
0.3701401913675174-0.2631300929737501j,0.001092849,2.81E-08,0.617999391,2.06E-06,
0.360627559813181-0.25533912344332543j,0.001046824,2.50E-08,0.616102294,1.83E-06,
0.35117401713258545-0.2473941484442345j,0.001001971,2.22E-08,0.613724595,1.63E-06,
0.3417922919006367-0.23933772992462915j,0.000958339,1.97E-08,0.610889171,1.44E-06,
0.3324959753614712-0.23121121774545433j,0.000915972,1.74E-08,0.607618896,1.27E-06,
0.3232996609540365-0.2230546564367024j,0.000874911,1.54E-08,0.603936647,1.13E-06,
0.31421906449943937-0.21490669779970123j,0.000835193,1.36E-08,0.599865299,9.96E-07,
0.3052711252643935-0.20680451947537368j,0.000796853,1.21E-08,0.595427728,8.86E-07,
0.29647408822612814-0.1987837497514142j,0.000759922,1.06E-08,0.590646809,7.76E-07,
0.2878475679694834-0.190878399016257j,0.000724428,9.38E-09,0.585545417,6.87E-07,
0.27941259474685864-0.18312079838435044j,0.000690397,8.27E-09,0.580146429,6.06E-07,
0.27119164332610285-0.17554154611554523j,0.000657852,7.29E-09,0.574472721,5.34E-07,
0.2632086453401567-0.16816946253156737j,0.000626813,6.43E-09,0.568547166,4.71E-07,
0.2554889859347512-0.16103155419486523j,0.000597299,5.67E-09,0.562392642,4.15E-07,
0.2480594855861326-0.15415298816010342j,0.000569326,5.01E-09,0.556032024,3.67E-07,
0.2409483680288389-0.14755707713686447j,0.000542908,4.42E-09,0.549488186,3.24E-07,
0.23418521529314618-0.14126527641451925j,0.000518058,3.91E-09,0.542784006,2.86E-07,
0.22780091090193993-0.13529719339762317j,0.000494785,3.47E-09,0.535942358,2.54E-07,
0.22182757231648229-0.12967061058366727j,0.0004731,3.08E-09,0.528986118,2.26E-07,
0.21629847374881275-0.12440152278569568j,0.000453009,2.75E-09,0.521938162,2.01E-07,
0.21115259796976127-0.1193382164061169j,0.000434222,2.46E-09,0.514419353,1.80E-07,
0.2061884447159956-0.11414477413017292j,0.000416098,2.19E-09,0.505598659,1.60E-07,
0.20137869691546803-0.10883989963234753j,0.0003986,1.96E-09,0.495499984,1.44E-07,
0.19670401537242324-0.10345294338513265j,0.000381715,1.75E-09,0.484177372,1.28E-07,
0.19214654776822482-0.09801151869341655j,0.000365431,1.56E-09,0.471684866,1.14E-07,
0.18769006144960598-0.09254159812400521j,0.000349735,1.39E-09,0.45807651,1.02E-07,
0.18332004642627517-0.08706758816689683j,0.000334616,1.24E-09,0.443406348,9.08E-08,
0.179023790432827-0.0816123836498489j,0.00032006,1.10E-09,0.427728423,8.06E-08,
0.17479042772183234-0.07619740375920492j,0.000306056,9.81E-10,0.41109678,7.18E-08,
0.17061096312178883-0.07084261178662352j,0.000292594,8.73E-10,0.393565462,6.39E-08,
0.16647827281224978-0.06556652092708408j,0.000279662,7.77E-10,0.375188512,5.69E-08,
0.16238708323456952-0.06038618860146781j,0.000267249,6.91E-10,0.356019975,5.06E-08,
0.15833392956487702-0.0553172018697979j,0.000255345,6.14E-10,0.336113895,4.50E-08,
0.15431709521981882-0.05037365654128092j,0.000243939,5.46E-10,0.315524314,4.00E-08,
0.15033653393838578-0.04556813257703988j,0.000233021,4.86E-10,0.294305278,3.56E-08,
0.1463937760774138-0.04091166832343197j,0.000222582,4.32E-10,0.272510829,3.16E-08,
0.14249182086653867-0.036413736010937656j,0.000212612,3.84E-10,0.250195011,2.81E-08,
0.13863501648293536-0.0320822208091248j,0.000203102,3.42E-10,0.227411869,2.50E-08,
0.13482892991965978-0.027923405545918677j,0.000194041,3.04E-10,0.204215445,2.23E-08,
0.1310802087267906-0.023941962983711672j,0.000185422,2.71E-10,0.180659784,1.98E-08,
0.12739643679534518-0.020140957300675146j,0.000177235,2.41E-10,0.156798929,1.76E-08,
0.12378598642429064-0.016521856158466887j,0.000169473,2.15E-10,0.132686925,1.57E-08,
0.12025786895589387-0.013084554453316504j,0.000162126,1.92E-10,0.108377814,1.41E-08,
0.11682158628010679-0.009827410552589105j,0.000155186,1.72E-10,0.083925641,1.26E-08,
0.11348698549163097-0.0067472955200107015j,0.000148646,1.54E-10,0.05938445,1.13E-08,
0.11026411893178145-0.0038396555365600377j,0.000142497,1.38E-10,0.034808283,1.01E-08,
0.10716311176041884-0.0010985874373776743j,1.37E-04,1.24E-10,0.010251186,9.08E-09,
0.10419403908126154+0.001483072985475561j,1.31E-04,1.11E-10,-0.014232799,8.13E-09,
0.10136681448806402+0.003913650512682561j,1.26E-04,1.01E-10,-0.038589628,7.40E-09,
0.09869045462202494+0.006203371824759568j,1.22E-04,9.11E-11,-0.062774271,6.67E-09,
0.09606472165304424+0.00849610799612183j,1.17E-04,8.26E-11,-0.088211982,6.05E-09,
0.09340541937435011+0.010871022777021849j,1.13E-04,7.49E-11,-0.115864083,5.48E-09,
0.09070410540576641+0.013299603756923111j,1.09E-04,6.78E-11,-0.145588825,4.96E-09,
0.08795405988035045+0.015754697505189104j,1.05E-04,6.15E-11,-0.17724446,4.50E-09,
0.08515045367937336+0.018210540209010063j,1.01E-04,5.57E-11,-0.21068924,4.08E-09,
0.08229045824511534+0.020642816334750413j,9.72E-05,5.05E-11,-0.245781417,3.70E-09,
0.07937329985308059+0.023028739773126604j,9.36E-05,4.57E-11,-0.282379242,3.35E-09,
0.07640026137098813+0.025347151199635622j,9.01E-05,4.14E-11,-0.320340967,3.03E-09,
0.07337463485037198+0.02757862494585112j,8.68E-05,3.75E-11,-0.359524844,2.75E-09,
0.07030162874618034+0.029705578522012277j,8.35E-05,3.39E-11,-0.399789124,2.48E-09,
0.0671882340936836+0.031712378041869486j,8.04E-05,3.07E-11,-0.440992059,2.25E-09,
0.06404305454121381+0.03358543315816687j,7.73E-05,2.78E-11,-0.482991902,2.04E-09,
0.06087610569302163+0.03531327569749915j,7.44E-05,2.52E-11,-0.525646902,1.85E-09,
0.057698589712851765+0.03688661695708885j,7.16E-05,2.28E-11,-0.568815313,1.67E-09,
0.054522651534738176+0.038298379558338536j,6.89E-05,2.06E-11,-0.612355386,1.51E-09,
0.05136112328898852+0.03954370080307807j,6.63E-05,1.87E-11,-0.656125373,1.37E-09,
0.04822726365278469+0.04061990560490382j,6.38E-05,1.69E-11,-0.699983525,1.24E-09,
0.04513449876023395+0.0415264482244653j,6.13E-05,1.53E-11,-0.743788095,1.12E-09,
0.04209617105001157+0.04226482317833672j,5.90E-05,1.38E-11,-0.787397333,1.01E-09,
0.03912530199391345+0.04283844677223559j,5.68E-05,1.25E-11,-0.830669491,9.15E-10,
0.03623437405003927+0.04325251169045792j,5.46E-05,1.13E-11,-0.873462822,8.27E-10,
0.03343513644168544+0.043513817919488225j,5.25E-05,1.03E-11,-0.915635577,7.54E-10,
0.030738438505911826+0.04363058396666113j,5.05E-05,9.30E-12,-0.957046008,6.81E-10,
0.02815409341775393+0.04361224283428946j,4.86E-05,8.43E-12,-0.997552366,6.17E-10,
0.025690774113800083+0.04346922751421383j,4.68E-05,7.64E-12,-1.037012903,5.59E-10,
0.02335594224983726+0.04321275087442164j,4.50E-05,6.93E-12,-1.07528587,5.07E-10,
0.02115581006780255+0.04285458472384223j,4.33E-05,6.28E-12,-1.112229521,4.60E-10,
0.019095334150594195+0.04240684257698008j,4.17E-05,5.70E-12,-1.147702106,4.17E-10,
0.017178239237889335+0.04188177021662682j,4.02E-05,5.18E-12,-1.181561876,3.79E-10,
0.015407069584423165+0.041291547595613105j,3.87E-05,4.71E-12,-1.213667084,3.45E-10,
0.013783264779692852+0.04064810495614394j,3.73E-05,4.28E-12,-1.243875982,3.13E-10,
0.012307256522762438+0.03996295530837577j,3.60E-05,3.90E-12,-1.272046821,2.86E-10,
0.010978582558176849+0.03924704462954934j,3.47E-05,3.55E-12,-1.298037852,2.60E-10,
0.009796013822041958+0.03851062035108537j,3.35E-05,3.24E-12,-1.321707328,2.37E-10,
0.008757690807431688+0.037763117921157274j,3.23E-05,2.96E-12,-1.342913501,2.17E-10,
0.00786126521583909+0.03701306448873884j,3.12E-05,2.70E-12,-1.361514621,1.98E-10,
0.007104043091842637+0.036267998072652574j,3.02E-05,2.48E-12,-1.377368941,1.82E-10,
0.006483125813082821+0.03553439997257465j,2.92E-05,2.27E-12,-1.390334712,1.66E-10,
0.005995545495847907+0.034817637661714175j,2.83E-05,2.09E-12,-1.400270186,1.53E-10,
0.005638391545207814+0.03412191498374719j,2.74E-05,1.92E-12,-1.407033615,1.41E-10,
0.005408925194300956+0.03345022616889311j,2.66E-05,1.77E-12,-1.410483251,1.30E-10,
