RAO,Coeff,Res_Spec,phase,Norm_Spec,
0.005311287306924923+0.03279851124717973j,2.58E-05,1.64E-12,-1.410253142,1.20E-10,
0.005377763448103932+0.032132946733920864j,2.51E-05,1.51E-12,-1.404973328,1.11E-10,
0.005599763698838876+0.03144760587341068j,2.43E-05,1.40E-12,-1.394576882,1.03E-10,
0.005961782812781911+0.030740290227140466j,2.36E-05,1.29E-12,-1.37923408,9.45E-11,
0.0064485518293037536+0.03000714036743233j,2.29E-05,1.19E-12,-1.359115197,8.71E-11,
0.007044971919086435+0.029243095527406452j,2.22E-05,1.10E-12,-1.334390511,8.06E-11,
0.0077360361013746395+0.02844231659405143j,2.16E-05,1.02E-12,-1.305230296,7.47E-11,
0.008506752736999813+0.027598575357511094j,2.09E-05,9.38E-13,-1.271804829,6.87E-11,
0.009342081958491644+0.026705612316004147j,2.03E-05,8.66E-13,-1.234284386,6.34E-11,
0.01022689371414418+0.025757464428701984j,1.97E-05,7.99E-13,-1.192839244,5.85E-11,
0.011145953823419175+0.02474876316822749j,1.91E-05,7.38E-13,-1.147639677,5.40E-11,
0.01208394231946421+0.023675002181439107j,1.85E-05,6.81E-13,-1.098855963,4.99E-11,
0.01302550635593335+0.02253277292838109j,1.80E-05,6.28E-13,-1.046658377,4.60E-11,
0.013955348060376802+0.021319965919257437j,1.74E-05,5.80E-13,-0.991217195,4.25E-11,
0.014858345922545865+0.020035934672133368j,1.69E-05,5.35E-13,-0.932702694,3.92E-11,
0.015719706626439824+0.01868161931414871j,1.64E-05,4.93E-13,-0.871285149,3.61E-11,
0.0165251426971886+0.017259626871092507j,1.59E-05,4.55E-13,-0.807134837,3.33E-11,
0.01726106997601995+0.015774265739352387j,1.54E-05,4.20E-13,-0.740422033,3.08E-11,
0.017914817803271456+0.014231532596112047j,1.49E-05,3.87E-13,-0.671317014,2.83E-11,
0.018474843927179515+0.012639051044930578j,1.45E-05,3.57E-13,-0.599990055,2.61E-11,
0.01893094560836038+0.011005962563692726j,1.40E-05,3.29E-13,-0.526611434,2.41E-11,
0.019274458191836367+0.009342771754316291j,1.36E-05,3.04E-13,-0.451351425,2.23E-11,
0.019498432593090326+0.007661149410469081j,1.32E-05,2.80E-13,-0.374380305,2.05E-11,
0.019597783698903606+0.005973698434932949j,1.28E-05,2.58E-13,-0.295868351,1.89E-11,
0.019569402606154442+0.00429368906315735j,1.24E-05,2.38E-13,-0.215985837,1.74E-11,
0.01941222688126734+0.0026347710972522845j,1.20E-05,2.19E-13,-0.13490304,1.60E-11,
0.01912726456935421+0.0010106718461402762j,1.16E-05,2.02E-13,-0.052790237,1.48E-11,
0.01871756944768963-0.0005651108633701587j,1.13E-05,1.86E-13,0.030182298,1.36E-11,
0.01818816692137558-0.002079610942088147j,1.09E-05,1.72E-13,0.113844287,1.26E-11,
0.01754593190864734-0.0035206819996990895j,1.06E-05,1.58E-13,0.198025454,1.16E-11,
0.016799421963772293-0.00487726195726824j,1.02E-05,1.46E-13,0.282555524,1.07E-11,
0.015958670642977638-0.006139606149156821j,9.92E-06,1.35E-13,0.367264221,9.89E-12,
0.015034947646778301-0.0072994819908145485j,9.61E-06,1.24E-13,0.451981268,9.08E-12,
0.014040493496727145-0.008350319812144007j,9.31E-06,1.14E-13,0.53653639,8.35E-12,
0.012988237369589263-0.009287316187605825j,9.02E-06,1.06E-13,0.62075931,7.76E-12,
0.011891507181547684-0.010107487946255198j,8.74E-06,9.74E-14,0.704479752,7.13E-12,
0.01076374107619647-0.010809676924404292j,8.47E-06,8.98E-14,0.78752744,6.58E-12,
0.009618209132572848-0.011394507338156862j,8.21E-06,8.29E-14,0.869732099,6.07E-12,
0.008467753404817679-0.011864299316516362j,7.95E-06,7.65E-14,0.950923451,5.60E-12,
0.007324553383695154-0.012222943573435613j,7.71E-06,7.06E-14,1.030931222,5.17E-12,
0.00619992269771682-0.01247574334991855j,7.47E-06,6.52E-14,1.109585134,4.77E-12,
0.005104141423956544-0.012629230584409165j,7.24E-06,6.02E-14,1.186714913,4.41E-12,
0.004046326836960672-0.012690963750441115j,7.02E-06,5.57E-14,1.262150281,4.08E-12,
0.0030343438695539407-0.012669314934074255j,6.81E-06,5.14E-14,1.335720963,3.76E-12,
0.002074755067979497-0.012573253527874884j,6.60E-06,4.76E-14,1.407256682,3.49E-12,
0.0011728084626705028-0.0124121334271685j,6.41E-06,4.40E-14,1.476587163,3.22E-12,
0.00033246059952049913-0.012195489874904365j,6.22E-06,4.08E-14,1.54354213,2.99E-12,
-0.0004435689754028171-0.011932851169507529j,6.03E-06,3.77E-14,1.607951306,2.76E-12,
-0.0011537161881484924-0.011633569386048346j,5.86E-06,3.50E-14,1.669644416,2.56E-12,
-0.001797468723164964-0.011306673126020933j,5.69E-06,3.24E-14,1.728451183,2.37E-12,
-0.002375245176593484-0.010960744162940949j,5.53E-06,3.01E-14,1.784201332,2.20E-12,
-0.0028882620942499862-0.01060381874152444j,5.37E-06,2.80E-14,1.836724585,2.05E-12,
-0.0033383936747629693-0.010243313260414848j,5.22E-06,2.60E-14,1.885850668,1.90E-12,
-0.003728028516364004-0.009885973155120215j,5.08E-06,2.42E-14,1.931409304,1.77E-12,
-0.004059927260964601-0.009537843020983214j,4.94E-06,2.25E-14,1.973230217,1.65E-12,
-0.0043370843853498655-0.009204255386884774j,4.81E-06,2.10E-14,2.011143131,1.54E-12,
-0.004562596750242738-0.008889835070352856j,4.68E-06,1.96E-14,2.04497777,1.44E-12,
-0.004739540885133584-0.008598515706742667j,4.57E-06,1.83E-14,2.074563857,1.34E-12,
-0.004870860398097962-0.008333564835537407j,4.45E-06,1.71E-14,2.099731118,1.25E-12,
-0.0049592643889860835-0.00809761382756683j,4.34E-06,1.61E-14,2.120309275,1.18E-12,
-0.005007137340441215-0.00789268892801319j,4.24E-06,1.51E-14,2.136128053,1.11E-12,
-0.005016460688865702-0.0077202397518786j,4.15E-06,1.42E-14,2.147017175,1.04E-12,
-0.004989022996160698-0.007580909924231241j,4.05E-06,1.33E-14,2.152847098,9.74E-13,
-0.004947283702223246-0.0074554181244637216j,3.96E-06,1.25E-14,2.156660577,9.15E-13,
-0.0049049473085456645-0.007331454213267725j,3.88E-06,1.18E-14,2.160431839,8.64E-13,
-0.004862043322462125-0.007209010910584366j,3.79E-06,1.11E-14,2.164160989,8.13E-13,
-0.004818600823034987-0.0070880807555623775j,3.71E-06,1.05E-14,2.16784813,7.69E-13,
-0.004774648463839995-0.006968656115926096j,3.63E-06,9.85E-15,2.171493366,7.21E-13,
-0.00473021447582164-0.006850729197166017j,3.55E-06,9.27E-15,2.1750968,6.79E-13,
-0.0046853266702146495-0.006734292051553423j,3.47E-06,8.72E-15,2.178658538,6.39E-13,
-0.004640012441527602-0.006619336586980768j,3.39E-06,8.21E-15,2.182178681,6.01E-13,
-0.0045942987705849285-0.006505854575629451j,3.31E-06,7.72E-15,2.185657336,5.65E-13,
-0.004548212227623532-0.006393837662466643j,3.24E-06,7.26E-15,2.189094604,5.32E-13,
-0.004501778975440397-0.0062832773735729715j,3.17E-06,6.83E-15,2.19249059,5.00E-13,
-0.004455024772587598-0.006174165124302681j,3.09E-06,6.43E-15,2.195845398,4.71E-13,
-0.0044079749766113225-0.006066492227278031j,3.02E-06,6.05E-15,2.199159131,4.43E-13,
-0.0043606545473314886-0.005960249900219849j,2.96E-06,5.69E-15,2.202431894,4.17E-13,
-0.0043130880501587015-0.0058554292736158016j,2.89E-06,5.35E-15,2.20566379,3.92E-13,
-0.0042652996594453214-0.005752021398228327j,2.82E-06,5.03E-15,2.208854923,3.68E-13,
-0.00421731316186761-0.005650017252444056j,2.76E-06,4.73E-15,2.212005397,3.46E-13,
-0.00416915195983585-0.005549407749466448j,2.69E-06,4.45E-15,2.215115315,3.26E-13,
-0.0041208390749295455-0.005450183744353511j,2.63E-06,4.18E-15,2.218184782,3.06E-13,
-0.004072397151354853-0.005352336040902542j,2.57E-06,3.93E-15,2.221213901,2.88E-13,
-0.0040238484594214375-0.005255855398383599j,2.51E-06,3.69E-15,2.224202776,2.70E-13,
-0.003975214899036038-0.005160732538123596j,2.45E-06,3.47E-15,2.227151511,2.54E-13,
-0.003926518003210239-0.005066958149943j,2.40E-06,3.26E-15,2.23006021,2.39E-13,
-0.003877778941579742-0.004974522898446791j,2.34E-06,3.07E-15,2.232928976,2.25E-13,
-0.003829018523932767-0.00488341742917169j,2.29E-06,2.88E-15,2.235757914,2.11E-13,
-0.0037802572037452156-0.004793632374591482j,2.23E-06,2.71E-15,2.238547126,1.98E-13,
-0.0037315150817201813-0.004705158359982292j,2.18E-06,2.54E-15,2.241296718,1.86E-13,
-0.0036828119093296244-0.004617986009149619j,2.13E-06,2.39E-15,2.244006792,1.75E-13,
-0.0036341670923560683-0.004532105950019106j,2.08E-06,2.24E-15,2.246677453,1.64E-13,
-0.0035855996944320935-0.004447508820092765j,2.03E-06,2.11E-15,2.249308804,1.55E-13,
-0.0035371284405757-0.0043641852717725685j,1.98E-06,1.98E-15,2.25190095,1.45E-13,
-0.0034887717207195104-0.004282125977553277j,1.93E-06,1.86E-15,2.254453993,1.36E-13,
-0.003440547593231929-0.004201321635086248j,1.89E-06,1.75E-15,2.256968038,1.28E-13,
-0.003392473788428373-0.004121762972116094j,1.84E-06,1.64E-15,2.259443189,1.20E-13,
-0.003344567712070859-0.004043440751292064j,1.80E-06,1.54E-15,2.26187955,1.13E-13,
-0.003296846448854169-0.003966345774855828j,1.75E-06,1.44E-15,2.264277223,1.05E-13,
-0.003249326765876962-0.0038904688892075394j,1.71E-06,1.36E-15,2.266636314,9.96E-14,
-0.0032020251160962453-0.003815800989351988j,1.67E-06,1.27E-15,2.268956926,9.30E-14,
-0.0031549576417636387-0.003742333023226514j,1.63E-06,1.19E-15,2.271239162,8.71E-14,
-0.0031081401778419587-0.0036700559959124994j,1.59E-06,1.12E-15,2.273483127,8.20E-14,
-0.003061588255400719-0.0035989609737322246j,1.55E-06,1.05E-15,2.275688924,7.69E-14,
-0.003015317104989153-0.0035290390882327244j,1.51E-06,9.86E-16,2.277856657,7.22E-14,
-0.0029693416599854187-0.003460281540058406j,1.47E-06,9.25E-16,2.279986431,6.77E-14,
-0.002923676559920793-0.003392679602714188j,1.44E-06,8.67E-16,2.282078348,6.35E-14,
-0.0028783361537775692-0.003326224626220721j,1.40E-06,8.14E-16,2.284132513,5.96E-14,
-0.002833334503259523-0.003260908040663457j,1.37E-06,7.63E-16,2.286149029,5.59E-14,
-0.002788685386033877-0.003196721359637206j,1.33E-06,7.16E-16,2.288128,5.24E-14,
-0.0027444022989436107-0.0031336561835877802j,1.30E-06,6.71E-16,2.29006953,4.91E-14,
-0.002700498461189179-0.003071704203052357j,1.27E-06,6.29E-16,2.291973724,4.61E-14,
-0.0026569868174786547-0.0030108572018002085j,1.24E-06,5.90E-16,2.293840684,4.32E-14,
-0.0026138800411453183-0.0029511070598752976j,1.21E-06,5.53E-16,2.295670514,4.05E-14,
-0.0025711905372319097-0.0028924457565423895j,1.18E-06,5.19E-16,2.297463319,3.80E-14,
-0.002528930445540619-0.0028348653731381625j,1.15E-06,4.86E-16,2.299219201,3.56E-14,
-0.0024871116436480578-0.0027783580958288707j,1.12E-06,4.56E-16,2.300938266,3.34E-14,
-0.0024457457498844905-0.0027229162182760987j,1.09E-06,4.27E-16,2.302620617,3.13E-14,
-0.0024048441262765623-0.002668532144212035j,1.06E-06,4.01E-16,2.304266357,2.94E-14,
-0.002364417881452889-0.002615198389925757j,1.04E-06,3.76E-16,2.30587559,2.75E-14,
-0.0023244778735118715-0.002562907586662038j,1.01E-06,3.52E-16,2.30744842,2.58E-14,
-0.0022850347128511345-0.0025116524829340123j,9.84E-07,3.30E-16,2.308984952,2.42E-14,
-0.002246098764958031-0.0024614259467511546j,9.59E-07,3.09E-16,2.310485288,2.26E-14,
-0.0022076801531607268-0.0024122209677640005j,9.35E-07,2.90E-16,2.311949533,2.12E-14,
-0.002169788761339324-0.0023640306593269134j,9.11E-07,2.72E-16,2.313377791,1.99E-14,
-0.0021324342365966263-0.002316848260480267j,8.88E-07,2.55E-16,2.314770164,1.87E-14,
-0.0020956259918881166-0.0022706671378534297j,8.66E-07,2.39E-16,2.316126758,1.75E-14,
-0.0020593732086107456-0.0022254807874897762j,8.44E-07,2.24E-16,2.317447675,1.64E-14,
-0.0020236848391502033-0.0021812828365950603j,8.23E-07,2.10E-16,2.318733021,1.54E-14,
-0.001988569609386357-0.00213806704521045j,8.02E-07,1.97E-16,2.319982897,1.44E-14,
-0.0019540360211565575-0.002095827307811397j,7.82E-07,1.85E-16,2.32119741,1.35E-14,
-0.0019200923546765533-0.0020545576548336246j,7.62E-07,1.73E-16,2.322376661,1.27E-14,
-0.001886746670918812-0.0020142522541274524j,7.43E-07,1.63E-16,2.323520755,1.19E-14,
-0.0018540068139480184-0.0019749054123415926j,7.25E-07,1.53E-16,2.324629796,1.12E-14,
-0.0018218804132135867-0.0019365115762376324j,7.07E-07,1.43E-16,2.325703887,1.05E-14,
-0.0017903748857990675-0.0018990653339363318j,6.89E-07,1.35E-16,2.326743133,9.89E-15,
-0.0017594974386283013-0.0018625614160968855j,6.72E-07,1.26E-16,2.327747637,9.23E-15,
-0.0017292550706282388-0.0018269946970301998j,6.56E-07,1.19E-16,2.328717503,8.71E-15,
-0.001699654574848369-0.0017923601957473643j,6.40E-07,1.12E-16,2.329652835,8.20E-15,
-0.001670702540536713-0.0017586530769442975j,6.24E-07,1.05E-16,2.330553737,7.69E-15,
-0.0016424053551723336-0.0017258686519236685j,6.09E-07,9.86E-17,2.331420312,7.22E-15,
-0.001614769206454445-0.0016940023794551101j,5.95E-07,9.27E-17,2.332252664,6.79E-15,
-0.0015878000842480537-0.0016630498665747367j,5.80E-07,8.73E-17,2.333050898,6.39E-15,
-0.0015615037824862504-0.001633006869324936j,5.67E-07,8.21E-17,2.333815116,6.01E-15,
-0.00153588590102921-0.001603869293435454j,5.53E-07,7.73E-17,2.334545423,5.66E-15,
-0.0015109518474799805-0.001575633194946668j,5.41E-07,7.29E-17,2.335241923,5.34E-15,
-0.0014867068389571776-0.0015482947807760293j,5.28E-07,6.87E-17,2.335904718,5.03E-15,
-0.0014631559038247406-0.0015218504092285705j,5.16E-07,6.48E-17,2.336533914,4.75E-15,
-0.001440303883378873-0.001496296590452376j,5.05E-07,6.12E-17,2.337129614,4.48E-15,
-0.0014181554334923591-0.0014716299868398914j,4.94E-07,5.78E-17,2.337691922,4.23E-15,
-0.0013967150262164487-0.0014478474133759515j,4.83E-07,5.46E-17,2.338220942,4.00E-15,
-0.001375986951340507-0.0014249458379333565j,4.72E-07,5.16E-17,2.338716777,3.78E-15,
-0.0013559753179096614-0.0014029223815168062j,4.62E-07,4.88E-17,2.339179531,3.57E-15,
-0.001336684055700699-0.0013817743184560524j,4.53E-07,4.63E-17,2.339609308,3.39E-15,
-0.0013181169166564543-0.0013614990765490062j,4.44E-07,4.38E-17,2.340006212,3.21E-15,
-0.0013002774762789734-0.0013420942371556003j,4.35E-07,4.16E-17,2.340370346,3.05E-15,
-0.0012831691349817578-0.0013235575352431818j,4.26E-07,3.95E-17,2.340701815,2.89E-15,
-0.001266795119401375-0.001305886859384138j,4.18E-07,3.75E-17,2.341000723,2.75E-15,
-0.0012511584836687527-0.0012890802517065226j,4.10E-07,3.57E-17,2.341267172,2.61E-15,
-0.0012362621106405283-0.0012731359077983626j,4.03E-07,3.40E-17,2.341501268,2.49E-15,
-0.0012221087130907565-0.0012580521765663626j,3.96E-07,3.24E-17,2.341703113,2.37E-15,
-0.0012087008348633677-0.001243827560049666j,3.89E-07,3.09E-17,2.341872812,2.26E-15,
-0.0011960408519857513-0.0012304607131893657j,3.82E-07,2.95E-17,2.342010468,2.16E-15,
-0.0011841309737438332-0.0012179504435543835j,3.76E-07,2.83E-17,2.342116185,2.07E-15,
-0.0011729732437190641-0.0012062957110243742j,3.71E-07,2.71E-17,2.342190067,1.98E-15,
-0.0011625695407877432-0.0011954956274302696j,3.65E-07,2.59E-17,2.342232218,1.90E-15,
-0.001152900304279438-0.0011855495100769207j,3.60E-07,2.49E-17,2.342233496,1.82E-15,
-0.0011429942836208773-0.0011764530306378105j,3.55E-07,2.39E-17,2.34177018,1.75E-15,
-0.0011323431598028364-0.0011681823230991213j,3.50E-07,2.30E-17,2.340617065,1.68E-15,
-0.0011209716071526662-0.0011607079495544149j,3.45E-07,2.21E-17,2.338780859,1.62E-15,
-0.0011089024095805972-0.0011539994484167494j,3.40E-07,2.12E-17,2.336268275,1.55E-15,
-0.0010961565898392465-0.0011480254319893243j,3.35E-07,2.04E-17,2.333086022,1.49E-15,
-0.0010827535387511176-0.0011427536762446647j,3.30E-07,1.96E-17,2.329240811,1.44E-15,
-0.0010687111439576737-0.0011381512035539831j,3.26E-07,1.88E-17,2.324739354,1.38E-15,
-0.001054045917790054-0.0011341843590816857j,3.21E-07,1.81E-17,2.31958836,1.33E-15,
-0.0010387731239027364-0.0011308188815315919j,3.17E-07,1.73E-17,2.31379454,1.27E-15,
-0.0010229069023478976-0.0011280199689015728j,3.12E-07,1.67E-17,2.307364606,1.22E-15,
-0.0010064603927999835-0.0011257523398724007j,3.08E-07,1.60E-17,2.300305267,1.17E-15,
-0.0009894458556677862-0.0011239802914247167j,3.03E-07,1.54E-17,2.292623234,1.13E-15,
-0.0009718747908552372-0.0011226677532455802j,2.99E-07,1.48E-17,2.284325218,1.08E-15,
-0.0009537580539526122-0.0011217783394530745j,2.95E-07,1.42E-17,2.27541793,1.04E-15,
-0.0009351059696573209-0.001121275398134187j,2.91E-07,1.36E-17,2.26590808,9.96E-16,
-0.0009159284422381086-0.0011211220591577325j,2.87E-07,1.31E-17,2.255802379,9.59E-16,
-0.0008962350628687585-0.0011212812806905771j,2.83E-07,1.26E-17,2.245107538,9.23E-16,
-0.0008760352136675413-0.0011217158948119462j,2.79E-07,1.21E-17,2.233830267,8.86E-16,
-0.000855338168287001-0.0011223886525872453j,2.75E-07,1.16E-17,2.221977277,8.49E-16,
-0.0008341531889053903-0.0011232622689296644j,2.71E-07,1.12E-17,2.209555278,8.20E-16,
-0.0008124896194766538-0.0011242994675449173j,2.67E-07,1.07E-17,2.196570982,7.84E-16,
-0.0007903569751003224-0.0011254630262218664j,2.63E-07,1.03E-17,2.183031099,7.54E-16,
-0.0007677650273763994-0.0011267158226995534j,2.59E-07,9.89E-18,2.168942339,7.24E-16,
-0.000744723885613483-0.001128020881309305j,2.56E-07,9.50E-18,2.154311414,6.96E-16,
-0.0007212440737612225-0.001129341420559217j,2.52E-07,9.13E-18,2.139145033,6.69E-16,
-0.0006973366029408618-0.0011306409017974267j,2.48E-07,8.77E-18,2.123449908,6.42E-16,
-0.0006730130394503461-0.0011318830790602412j,2.45E-07,8.42E-18,2.10723275,6.17E-16,
-0.0006482855681233911-0.001133032050181452j,2.41E-07,8.09E-18,2.090500268,5.92E-16,
-0.0006231670509252228-0.0011340523092100367j,2.38E-07,7.78E-18,2.073259174,5.70E-16,
-0.0005976710806714098-0.0011349088001550423j,2.34E-07,7.47E-18,2.055516178,5.47E-16,
-0.0005718120297607001-0.0011355669720487602j,2.31E-07,7.18E-18,2.037277991,5.26E-16,
-0.0005456050938178261-0.001135992835292432j,2.28E-07,6.90E-18,2.018551324,5.05E-16,
-0.0005190663301482374-0.0011361530192227282j,2.25E-07,6.63E-18,1.999342886,4.85E-16,
-0.0004922126909136155-0.0011360148308121433j,2.21E-07,6.37E-18,1.97965939,4.66E-16,
-0.00046506205094479686-0.0011355463143923928j,2.18E-07,6.12E-18,1.959507546,4.48E-16,
-0.0004376332301176528-0.0011347163122668754j,2.15E-07,5.88E-18,1.938894063,4.31E-16,
-0.000409946010227422-0.0011334945260563856j,2.12E-07,5.65E-18,1.917825654,4.14E-16,
-0.00038202114630793427-0.0011318515786016264j,2.09E-07,5.42E-18,1.896309028,3.97E-16,
-0.00035388037235436055-0.0011297590762266896j,2.06E-07,5.21E-18,1.874350896,3.82E-16,
-0.00032554640142131743-0.0011271896711496981j,2.03E-07,5.01E-18,1.851957969,3.67E-16,
-0.0002970429200823878-0.0011241171238102472j,2.00E-07,4.81E-18,1.829136958,3.52E-16,
-0.0002683945772525089-0.0011205163648682632j,1.97E-07,4.62E-18,1.805894572,3.38E-16,
-0.00023962696739098747-0.0011163635566154863j,1.94E-07,4.44E-18,1.782237524,3.25E-16,
-0.00021076660812012086-0.0011116361535290047j,1.91E-07,4.27E-18,1.758172524,3.13E-16,
-0.00018184091231259088-0.0011063129616862783j,1.89E-07,4.10E-18,1.733706281,3.00E-16,
-0.00015287815471970423-0.0011003741967528602j,1.86E-07,3.94E-18,1.708845507,2.89E-16,
-0.00012390743323213078-0.0010938015402476677j,1.83E-07,3.79E-18,1.683596913,2.78E-16,
-9.495862488503144e-05-0.0010865781937862164j,1.81E-07,3.64E-18,1.657967209,2.67E-16,
-6.606233674017138e-05-0.0010786889309997497j,1.78E-07,3.49E-18,1.631963106,2.56E-16,
-3.7249851798574196e-05-0.0010701201468276962j,1.75E-07,3.36E-18,1.605591315,2.46E-16,
-8.553070118617617e-06-0.0010608599038824111j,1.73E-07,3.23E-18,1.578858546,2.37E-16,
1.9995554664205205e-05-0.0010508979755887553j,1.70E-07,3.10E-18,1.551771509,2.27E-16,
4.836308319836567e-05-0.0010402258858066456j,1.68E-07,2.98E-18,1.524336916,2.18E-16,
7.651616241960439e-05-0.0010288369446523997j,1.65E-07,2.86E-18,1.496561478,2.09E-16,
0.00010442110143708583-0.0010167262802443864j,1.63E-07,2.75E-18,1.468451904,2.01E-16,
0.00013204395102286973-0.0010038908661101729j,1.61E-07,2.64E-18,1.440014905,1.93E-16,
0.0001593505864055475-0.0009903295440060302j,1.58E-07,2.54E-18,1.411257193,1.86E-16,
0.00018630679305014383-0.0009760430419152307j,1.56E-07,2.44E-18,1.382185478,1.79E-16,
0.00021287835508868546-0.0009610339870089683j,1.54E-07,2.34E-18,1.35280647,1.71E-16,
0.00023903114604914262-0.0009453069133729202j,1.51E-07,2.25E-18,1.32312688,1.65E-16,
0.00026473122151509835-0.0009288682643233473j,1.49E-07,2.16E-18,1.29315342,1.58E-16,
0.0002899449133346038-0.000911726389159017j,1.47E-07,2.08E-18,1.262892798,1.52E-16,
0.00031463892498425147-0.0008938915342191552j,1.45E-07,2.00E-18,1.232351727,1.46E-16,
0.0003387804276837936-0.0008753758281428451j,1.43E-07,1.92E-18,1.201536917,1.41E-16,
0.00036233715684778493-0.00085619326125167j,1.41E-07,1.84E-18,1.170455078,1.35E-16,
0.00038527750845369544-0.0008363596590048612j,1.39E-07,1.77E-18,1.139112921,1.30E-16,
0.0004075706349009568-0.0008158926495045486j,1.37E-07,1.70E-18,1.107517157,1.24E-16,
0.00042918653993258504-0.0007948116250576941j,1.35E-07,1.64E-18,1.075674497,1.20E-16,
0.0004500961721902085-0.0007731376978309265j,1.33E-07,1.57E-18,1.043591651,1.15E-16,
0.00047027151697491754-0.0007508936496643518j,1.31E-07,1.51E-18,1.011275329,1.11E-16,
0.000489685685790071-0.0007281038761405273j,1.29E-07,1.45E-18,0.978732243,1.06E-16,
0.0005083130032482434-0.0007047943250348526j,1.27E-07,1.39E-18,0.945969104,1.02E-16,
0.0005261290909328847-0.0006809924293034242j,1.25E-07,1.34E-18,0.912992621,9.81E-17,
0.0005431109478158857-0.0006567270347938207j,1.23E-07,1.29E-18,0.879809505,9.45E-17,
0.0005592370268451632-0.0006320283228930729j,1.21E-07,1.24E-18,0.846426468,9.08E-17,
0.0005744873073315061-0.000606927728355062j,1.20E-07,1.19E-18,0.812850219,8.71E-17,
0.0005888433627812724-0.0005814578525765025j,1.18E-07,1.14E-18,0.77908747,8.35E-17,
0.000602288423840899-0.0005556523726164908j,1.16E-07,1.10E-18,0.745144931,8.06E-17,
0.0006148074360406066-0.0005295459462789922j,1.14E-07,1.05E-18,0.711029313,7.69E-17,
0.0006263871120480126-0.00050317411360045j,1.13E-07,1.01E-18,0.676747326,7.40E-17,
0.0006370159781674345-0.0004765731951058854j,1.11E-07,9.73E-19,0.642305681,7.13E-17,
0.0006466844148473867-0.0004497801872161304j,1.09E-07,9.35E-19,0.607711089,6.85E-17,
0.0006553846909870192-0.00042283265520606924j,1.08E-07,8.99E-19,0.572970261,6.58E-17,
