,"Discharge, cubic feet per second"
2009-08-01,59100
2009-08-02,59700
2009-08-03,56200
2009-08-04,51700
2009-08-05,52100
2009-08-06,54500
2009-08-07,57000
2009-08-08,57300
2009-08-09,54600
2009-08-10,53400
2009-08-11,52800
2009-08-12,49700
2009-08-13,46000
2009-08-14,42600
2009-08-15,41200
2009-08-16,42700
2009-08-17,45400
2009-08-18,48100
2009-08-19,49300
2009-08-20,47400
2009-08-21,45300
2009-08-22,42600
2009-08-23,40300
2009-08-24,38900
2009-08-25,38300
2009-08-26,37300
2009-08-27,35900
2009-08-28,36100
2009-08-29,37400
2009-08-30,39400
2009-08-31,41500
2009-09-01,41800
2009-09-02,42500
2009-09-03,43500
2009-09-04,41400
2009-09-05,38300
2009-09-06,36200
2009-09-07,35200
2009-09-08,34400
2009-09-09,33600
2009-09-10,32400
2009-09-11,31300
2009-09-12,30600
2009-09-13,30000
2009-09-14,29300
2009-09-15,28400
2009-09-16,27200
2009-09-17,25900
2009-09-18,25100
2009-09-19,25000
2009-09-20,25000
2009-09-21,24800
2009-09-22,24600
2009-09-23,24900
2009-09-24,24600
2009-09-25,23800
2009-09-26,23000
2009-09-27,22400
2009-09-28,21800
2009-09-29,21100
2009-09-30,20500
2009-10-01,19900
2009-10-02,19500
2009-10-03,19200
2009-10-04,19000
2009-10-05,18800
2009-10-06,18700
2009-10-07,18500
2009-10-08,18400
2009-10-09,18300
2009-10-10,18200
2009-10-11,18500
2009-10-12,18800
2009-10-13,19000
2009-10-14,19200
2009-10-15,18800
2009-10-16,18200
2009-10-17,17000
2009-10-18,15500
2009-10-19,14800
2009-10-20,14800
2009-10-21,14900
2009-10-22,15500
2009-10-23,15800
2009-10-24,15200
2009-10-25,14500
2009-10-26,12800
2009-10-27,12600
2009-10-28,13000
2009-10-29,12000
2009-10-30,11000
2009-10-31,10100
2009-11-01,9600
2009-11-02,8700
2009-11-03,7900
2009-11-04,8500
2009-11-05,9000
2009-11-06,9100
2009-11-07,9200
2009-11-08,9300
2009-11-09,9400
2009-11-10,9500
2009-11-11,9500
2009-11-12,9600
2009-11-13,9600
2009-11-14,9600
2009-11-15,9600
2009-11-16,9600
2009-11-17,9500
2009-11-18,9300
2009-11-19,9200
2009-11-20,9100
2009-11-21,9000
2009-11-22,8900
2009-11-23,8700
2009-11-24,8500
2009-11-25,8400
2009-11-26,8200
2009-11-27,8000
2009-11-28,7900
2009-11-29,7800
2009-11-30,7600
2009-12-01,7500
2009-12-02,7500
2009-12-03,7400
2009-12-04,7300
2009-12-05,7200
2009-12-06,7200
2009-12-07,7100
2009-12-08,7100
2009-12-09,7100
2009-12-10,7000
2009-12-11,6900
2009-12-12,6900
2009-12-13,6900
2009-12-14,6800
2009-12-15,6800
2009-12-16,6800
2009-12-17,6700
2009-12-18,6700
2009-12-19,6700
2009-12-20,6700
2009-12-21,6700
2009-12-22,6700
2009-12-23,6700
2009-12-24,6700
2009-12-25,6700
2009-12-26,6700
2009-12-27,6700
2009-12-28,6700
2009-12-29,6700
2009-12-30,6700
2009-12-31,6700
2010-01-01,6700
2010-01-02,6700
2010-01-03,6700
2010-01-04,6700
2010-01-05,6700
2010-01-06,6700
2010-01-07,6700
2010-01-08,6700
2010-01-09,6700
2010-01-10,6700
2010-01-11,6700
2010-01-12,6700
2010-01-13,6700
2010-01-14,6700
2010-01-15,6700
2010-01-16,6700
2010-01-17,6700
2010-01-18,6700
2010-01-19,6700
2010-01-20,6700
2010-01-21,6700
2010-01-22,6700
2010-01-23,6700
2010-01-24,6700
2010-01-25,6700
2010-01-26,6700
2010-01-27,6700
2010-01-28,6700
2010-01-29,6700
2010-01-30,6700
2010-01-31,6700
2010-02-01,6700
2010-02-02,6700
2010-02-03,6600
2010-02-04,6600
2010-02-05,6600
2010-02-06,6600
2010-02-07,6600
2010-02-08,6600
2010-02-09,6600
2010-02-10,6600
2010-02-11,6600
2010-02-12,6600
2010-02-13,6600
2010-02-14,6600
2010-02-15,6600
2010-02-16,6600
2010-02-17,6600
2010-02-18,6600
2010-02-19,6600
2010-02-20,6600
2010-02-21,6600
2010-02-22,6600
2010-02-23,6600
2010-02-24,6600
2010-02-25,6600
2010-02-26,6600
2010-02-27,6600
2010-02-28,6600
2010-03-01,6600
2010-03-02,6600
2010-03-03,6600
2010-03-04,6600
2010-03-05,6600
2010-03-06,6600
2010-03-07,6600
2010-03-08,6600
2010-03-09,6600
2010-03-10,6600
2010-03-11,6600
2010-03-12,6600
2010-03-13,6600
2010-03-14,6600
2010-03-15,6600
2010-03-16,6600
2010-03-17,6600
2010-03-18,6600
2010-03-19,6600
2010-03-20,6600
2010-03-21,6600
2010-03-22,6600
2010-03-23,6600
2010-03-24,6600
2010-03-25,6600
2010-03-26,6600
2010-03-27,6600
2010-03-28,6600
2010-03-29,6600
2010-03-30,6700
2010-03-31,6700
2010-04-01,6800
2010-04-02,6800
2010-04-03,6900
2010-04-04,6900
2010-04-05,7000
2010-04-06,7000
2010-04-07,7000
2010-04-08,7100
2010-04-09,7200
2010-04-10,7300
2010-04-11,7400
2010-04-12,7600
2010-04-13,7800
2010-04-14,8000
2010-04-15,8200
2010-04-16,8400
2010-04-17,8700
2010-04-18,9000
2010-04-19,9300
2010-04-20,9600
2010-04-21,10000
2010-04-22,10700
2010-04-23,11000
2010-04-24,11600
2010-04-25,12400
2010-04-26,13000
2010-04-27,14000
2010-04-28,15500
2010-04-29,17000
2010-04-30,19000
2010-05-01,21000
2010-05-02,23000
2010-05-03,24200
2010-05-04,24600
2010-05-05,25000
2010-05-06,24800
2010-05-07,23600
2010-05-08,22900
2010-05-09,22600
2010-05-10,21900
2010-05-11,21400
2010-05-12,20800
2010-05-13,20600
2010-05-14,20500
2010-05-15,19400
2010-05-16,18700
2010-05-17,18200
2010-05-18,17900
2010-05-19,18200
2010-05-20,19200
2010-05-21,20900
2010-05-22,23200
2010-05-23,24200
2010-05-24,24500
2010-05-25,24700
2010-05-26,26800
2010-05-27,30200
2010-05-28,31000
2010-05-29,31600
2010-05-30,31800
2010-05-31,32100
2010-06-01,34200
2010-06-02,35700
2010-06-03,35300
2010-06-04,36600
2010-06-05,39700
2010-06-06,42300
2010-06-07,43500
2010-06-08,42100
2010-06-09,43500
2010-06-10,47600
2010-06-11,46800
2010-06-12,43700
2010-06-13,44000
2010-06-14,51000
2010-06-15,54800
2010-06-16,52300
2010-06-17,47000
2010-06-18,42800
2010-06-19,39900
2010-06-20,38400
2010-06-21,38200
2010-06-22,38600
2010-06-23,41300
2010-06-24,42900
2010-06-25,42700
2010-06-26,43600
2010-06-27,46100
2010-06-28,47700
2010-06-29,49600
2010-06-30,51800
2010-07-01,55000
2010-07-02,56000
2010-07-03,59100
2010-07-04,61600
2010-07-05,64100
2010-07-06,66700
2010-07-07,66500
2010-07-08,64100
2010-07-09,62100
2010-07-10,61000
2010-07-11,61100
2010-07-12,60400
2010-07-13,60700
2010-07-14,64000
2010-07-15,65600
2010-07-16,66000
2010-07-17,65600
2010-07-18,64600
2010-07-19,63000
2010-07-20,63900
2010-07-21,64700
2010-07-22,65800
2010-07-23,67100
2010-07-24,70600
2010-07-25,71800
2010-07-26,70800
2010-07-27,69600
2010-07-28,70100
2010-07-29,68900
2010-07-30,66400
2010-07-31,64200
2010-08-01,63800
2010-08-02,64300
2010-08-03,63900
2010-08-04,63800
2010-08-05,65200
2010-08-06,68000
2010-08-07,68700
2010-08-08,67400
2010-08-09,65000
2010-08-10,63200
2010-08-11,63800
2010-08-12,62200
2010-08-13,60400
2010-08-14,57700
2010-08-15,56300
2010-08-16,57900
2010-08-17,60300
2010-08-18,61900
2010-08-19,60900
2010-08-20,56400
2010-08-21,53100
2010-08-22,51500
2010-08-23,50700
2010-08-24,49000
2010-08-25,47100
2010-08-26,45600
2010-08-27,44700
2010-08-28,44900
2010-08-29,46400
2010-08-30,46900
2010-08-31,47100
2010-09-01,46800
2010-09-02,47100
2010-09-03,46700
2010-09-04,45700
2010-09-05,44500
2010-09-06,43700
2010-09-07,43200
2010-09-08,44300
2010-09-09,44800
2010-09-10,48500
2010-09-11,56400
2010-09-12,60000
2010-09-13,56000
2010-09-14,52800
2010-09-15,50700
2010-09-16,48300
2010-09-17,46700
2010-09-18,45600
2010-09-19,43900
2010-09-20,42300
2010-09-21,40500
2010-09-22,38800
2010-09-23,36700
2010-09-24,34700
2010-09-25,32400
2010-09-26,30300
2010-09-27,28600
2010-09-28,27100
2010-09-29,26100
2010-09-30,25600
2010-10-01,25400
2010-10-02,25300
2010-10-03,25000
2010-10-04,24400
2010-10-05,23900
2010-10-06,23200
2010-10-07,22700
2010-10-08,22200
2010-10-09,21900
2010-10-10,21200
2010-10-11,20700
2010-10-12,20400
2010-10-13,20100
2010-10-14,19600
2010-10-15,19500
2010-10-16,19200
2010-10-17,19000
2010-10-18,18600
2010-10-19,18200
2010-10-20,18000
2010-10-21,18000
2010-10-22,18000
2010-10-23,17900
2010-10-24,17100
2010-10-25,16100
2010-10-26,15500
2010-10-27,15700
2010-10-28,15700
2010-10-29,15500
2010-10-30,15500
2010-10-31,15200
2010-11-01,14000
2010-11-02,13000
2010-11-03,13200
2010-11-04,13300
2010-11-05,13500
2010-11-06,13900
2010-11-07,13200
2010-11-08,12800
2010-11-09,13000
2010-11-10,13000
2010-11-11,13000
2010-11-12,13000
2010-11-13,13000
2010-11-14,13000
2010-11-15,13000
2010-11-16,12600
2010-11-17,12300
2010-11-18,12000
2010-11-19,11700
2010-11-20,11700
2010-11-21,12100
2010-11-22,12600
2010-11-23,13000
2010-11-24,13800
2010-11-25,14000
2010-11-26,14200
2010-11-27,13600
2010-11-28,13000
2010-11-29,12000
2010-11-30,11000
2010-12-01,10000
2010-12-02,10000
2010-12-03,9800
2010-12-04,9800
2010-12-05,10000
2010-12-06,10000
2010-12-07,10000
2010-12-08,9800
2010-12-09,9600
2010-12-10,9600
2010-12-11,9400
2010-12-12,9400
2010-12-13,9200
2010-12-14,9200
2010-12-15,9000
2010-12-16,9000
2010-12-17,8800
2010-12-18,8800
2010-12-19,8600
2010-12-20,8600
2010-12-21,8400
2010-12-22,8400
2010-12-23,8200
2010-12-24,8200
2010-12-25,8000
2010-12-26,7800
2010-12-27,7800
2010-12-28,7600
2010-12-29,7400
2010-12-30,7400
2010-12-31,7400
2011-01-01,7300
2011-01-02,7300
2011-01-03,7300
2011-01-04,7300
2011-01-05,7200
2011-01-06,7200
2011-01-07,7200
2011-01-08,7200
2011-01-09,7200
2011-01-10,7200
2011-01-11,7200
2011-01-12,7200
2011-01-13,7100
2011-01-14,7100
2011-01-15,7100
2011-01-16,7100
2011-01-17,7100
2011-01-18,7100
2011-01-19,7100
2011-01-20,7100
2011-01-21,7000
2011-01-22,7000
2011-01-23,7000
2011-01-24,7000
2011-01-25,7000
2011-01-26,7000
2011-01-27,7000
2011-01-28,7000
2011-01-29,7000
2011-01-30,7000
2011-01-31,7000
2011-02-01,7000
2011-02-02,7000
2011-02-03,7000
2011-02-04,7000
2011-02-05,7000
2011-02-06,7000
2011-02-07,7000
2011-02-08,7000
2011-02-09,7000
2011-02-10,7000
2011-02-11,7000
2011-02-12,6900
2011-02-13,6900
2011-02-14,6900
2011-02-15,6900
2011-02-16,6900
2011-02-17,6900
2011-02-18,6900
2011-02-19,6900
2011-02-20,6800
2011-02-21,6800
2011-02-22,6800
2011-02-23,6800
2011-02-24,6800
2011-02-25,6800
2011-02-26,6800
2011-02-27,6800
2011-02-28,6700
2011-03-01,6700
2011-03-02,6700
2011-03-03,6700
2011-03-04,6700
2011-03-05,6700
2011-03-06,6700
2011-03-07,6700
2011-03-08,6700
2011-03-09,6700
2011-03-10,6600
2011-03-11,6600
2011-03-12,6600
2011-03-13,6600
2011-03-14,6600
2011-03-15,6600
2011-03-16,6600
2011-03-17,6500
2011-03-18,6500
2011-03-19,6500
2011-03-20,6500
2011-03-21,6500
2011-03-22,6500
2011-03-23,6500
2011-03-24,6500
2011-03-25,6500
2011-03-26,6500
2011-03-27,6600
2011-03-28,6600
2011-03-29,6600
2011-03-30,6600
2011-03-31,6600
2011-04-01,6600
2011-04-02,6600
2011-04-03,6600
2011-04-04,6700
2011-04-05,6700
2011-04-06,6700
2011-04-07,6800
2011-04-08,6800
2011-04-09,6900
2011-04-10,6900
2011-04-11,7000
2011-04-12,7000
2011-04-13,7100
2011-04-14,7100
2011-04-15,7200
2011-04-16,7300
2011-04-17,7400
2011-04-18,7600
2011-04-19,7800
2011-04-20,8000
2011-04-21,8500
2011-04-22,9000
2011-04-23,9500
2011-04-24,10000
2011-04-25,11000
2011-04-26,12500
2011-04-27,15000
2011-04-28,17500
2011-04-29,20000
2011-04-30,22500
2011-05-01,25500
2011-05-02,28000
2011-05-03,30000
2011-05-04,31500
2011-05-05,33000
2011-05-06,34000
2011-05-07,32300
2011-05-08,27900
2011-05-09,26100
2011-05-10,24800
2011-05-11,25000
2011-05-12,26100
2011-05-13,25500
2011-05-14,23500
2011-05-15,23500
2011-05-16,24400
2011-05-17,25100
2011-05-18,26800
2011-05-19,28500
2011-05-20,30200
2011-05-21,31400
2011-05-22,34500
2011-05-23,35500
2011-05-24,37700
2011-05-25,38700
2011-05-26,38700
2011-05-27,39900
2011-05-28,40800
2011-05-29,43000
2011-05-30,45700
2011-05-31,48300
2011-06-01,52200
2011-06-02,53100
2011-06-03,51000
2011-06-04,50500
2011-06-05,49100
2011-06-06,45500
2011-06-07,42300
2011-06-08,40600
2011-06-09,40600
2011-06-10,39800
2011-06-11,38800
2011-06-12,38900
2011-06-13,39100
2011-06-14,39200
2011-06-15,38700
2011-06-16,41800
2011-06-17,46800
2011-06-18,49300
2011-06-19,45500
2011-06-20,43900
2011-06-21,43200
2011-06-22,44000
2011-06-23,45900
2011-06-24,48700
2011-06-25,55300
2011-06-26,59500
2011-06-27,58800
2011-06-28,60600
2011-06-29,60500
2011-06-30,61600
2011-07-01,63200
2011-07-02,63400
2011-07-03,64400
2011-07-04,68500
2011-07-05,70100
2011-07-06,74700
2011-07-07,74800
2011-07-08,69500
2011-07-09,66800
2011-07-10,66000
2011-07-11,66600
2011-07-12,67200
2011-07-13,66900
2011-07-14,65500
2011-07-15,63900
2011-07-16,62600
2011-07-17,61800
2011-07-18,62000
2011-07-19,61300
2011-07-20,61400
2011-07-21,60400
2011-07-22,58800
2011-07-23,59600
2011-07-24,60900
2011-07-25,61300
2011-07-26,61000
2011-07-27,61200
2011-07-28,63400
2011-07-29,64500
2011-07-30,65600
2011-07-31,65100
2011-08-01,63800
2011-08-02,63000
2011-08-03,63600
2011-08-04,64700
2011-08-05,64800
2011-08-06,64100
2011-08-07,60000
2011-08-08,55700
2011-08-09,52100
2011-08-10,50300
2011-08-11,48700
2011-08-12,47700
2011-08-13,49500
2011-08-14,50700
2011-08-15,51700
2011-08-16,53100
2011-08-17,55400
2011-08-18,57700
2011-08-19,56800
2011-08-20,55300
2011-08-21,56500
2011-08-22,59000
2011-08-23,61500
2011-08-24,61400
2011-08-25,60800
2011-08-26,59200
2011-08-27,55300
2011-08-28,51400
2011-08-29,48800
2011-08-30,46900
2011-08-31,45800
2011-09-01,44700
2011-09-02,44400
2011-09-03,43500
2011-09-04,42400
2011-09-05,40800
2011-09-06,39200
2011-09-07,37400
2011-09-08,35700
2011-09-09,34300
2011-09-10,33200
2011-09-11,32200
2011-09-12,31500
2011-09-13,31100
2011-09-14,30500
2011-09-15,30100
2011-09-16,30100
2011-09-17,31300
2011-09-18,32800
2011-09-19,31900
2011-09-20,30400
2011-09-21,29400
2011-09-22,28500
2011-09-23,27900
2011-09-24,27100
2011-09-25,26600
2011-09-26,25900
2011-09-27,25200
2011-09-28,24500
2011-09-29,24000
2011-09-30,23500
2011-10-01,22900
2011-10-02,22400
2011-10-03,22000
2011-10-04,21700
2011-10-05,21400
2011-10-06,21200
2011-10-07,20900
2011-10-08,20500
2011-10-09,20200
2011-10-10,19700
2011-10-11,19400
2011-10-12,18900
2011-10-13,18300
2011-10-14,17900
2011-10-15,17900
2011-10-16,17900
2011-10-17,17900
2011-10-18,17800
2011-10-19,17600
2011-10-20,17200
2011-10-21,16800
2011-10-22,16000
2011-10-23,15000
2011-10-24,14000
2011-10-25,13000
2011-10-26,13100
2011-10-27,13300
2011-10-28,12800
2011-10-29,12100
2011-10-30,11600
2011-10-31,11000
2011-11-01,10700
2011-11-02,10300
2011-11-03,9900
2011-11-04,9700
2011-11-05,9800
2011-11-06,10000
2011-11-07,10300
2011-11-08,10500
2011-11-09,10800
2011-11-10,10900
2011-11-11,10900
2011-11-12,10800
2011-11-13,10700
2011-11-14,10400
2011-11-15,10100
2011-11-16,9900
2011-11-17,9800
2011-11-18,9600
2011-11-19,9400
2011-11-20,9300
2011-11-21,9200
2011-11-22,9000
2011-11-23,8900
2011-11-24,8800
2011-11-25,8700
2011-11-26,8700
2011-11-27,8600
2011-11-28,8400
2011-11-29,8300
2011-11-30,8200
2011-12-01,8200
2011-12-02,8100
2011-12-03,8100
2011-12-04,8000
2011-12-05,8000
2011-12-06,8000
2011-12-07,8000
2011-12-08,8000
2011-12-09,8000
2011-12-10,8100
2011-12-11,8100
2011-12-12,8100
2011-12-13,8100
2011-12-14,8100
2011-12-15,8100
2011-12-16,8100
2011-12-17,8000
2011-12-18,8000
2011-12-19,8000
2011-12-20,8000
2011-12-21,7900
2011-12-22,7900
2011-12-23,7900
2011-12-24,7900
2011-12-25,7800
2011-12-26,7800
2011-12-27,7800
2011-12-28,7700
2011-12-29,7700
2011-12-30,7600
2011-12-31,7600
2012-01-01,7600
2012-01-02,7500
2012-01-03,7500
2012-01-04,7500
2012-01-05,7400
2012-01-06,7400
2012-01-07,7400
2012-01-08,7400
2012-01-09,7300
2012-01-10,7300
2012-01-11,7300
2012-01-12,7200
2012-01-13,7200
2012-01-14,7200
2012-01-15,7100
2012-01-16,7100
2012-01-17,7100
2012-01-18,7000
2012-01-19,7000
2012-01-20,7000
2012-01-21,6900
2012-01-22,6900
2012-01-23,6900
2012-01-24,6900
2012-01-25,6900
2012-01-26,6900
2012-01-27,6800
2012-01-28,6800
2012-01-29,6800
2012-01-30,6800
2012-01-31,6800
2012-02-01,6700
2012-02-02,6700
2012-02-03,6700
2012-02-04,6700
2012-02-05,6700
2012-02-06,6700
2012-02-07,6700
2012-02-08,6700
2012-02-09,6700
2012-02-10,6800
2012-02-11,6800
2012-02-12,6800
2012-02-13,6800
2012-02-14,6900
2012-02-15,6900
2012-02-16,6900
2012-02-17,6900
2012-02-18,6900
2012-02-19,7000
2012-02-20,7000
2012-02-21,7000
2012-02-22,7000
2012-02-23,7000
2012-02-24,7000
2012-02-25,7000
2012-02-26,7000
2012-02-27,7100
2012-02-28,7100
2012-02-29,7100
2012-03-01,7100
2012-03-02,7100
2012-03-03,7100
2012-03-04,7100
2012-03-05,7100
2012-03-06,7100
2012-03-07,7200
2012-03-08,7200
2012-03-09,7200
2012-03-10,7200
2012-03-11,7200
2012-03-12,7200
2012-03-13,7200
2012-03-14,7300
2012-03-15,7300
2012-03-16,7300
2012-03-17,7300
2012-03-18,7300
2012-03-19,7300
2012-03-20,7300
2012-03-21,7300
2012-03-22,7300
2012-03-23,7300
2012-03-24,7300
2012-03-25,7300
2012-03-26,7300
2012-03-27,7300
2012-03-28,7400
2012-03-29,7400
2012-03-30,7400
2012-03-31,7400
2012-04-01,7400
2012-04-02,7400
2012-04-03,7400
2012-04-04,7400
2012-04-05,7400
2012-04-06,7600
2012-04-07,7600
2012-04-08,7800
2012-04-09,8000
2012-04-10,8000
2012-04-11,8500
2012-04-12,9000
2012-04-13,9500
2012-04-14,10000
2012-04-15,11000
2012-04-16,13000
2012-04-17,16000
2012-04-18,19000
2012-04-19,21000
2012-04-20,24000
2012-04-21,27000
2012-04-22,30000
2012-04-23,34000
2012-04-24,37000
2012-04-25,40000
2012-04-26,45000
2012-04-27,39200
2012-04-28,34900
2012-04-29,31200
2012-04-30,30700
2012-05-01,30200
2012-05-02,28100
2012-05-03,27400
2012-05-04,26300
2012-05-05,23900
2012-05-06,22800
2012-05-07,21900
2012-05-08,21400
2012-05-09,21400
2012-05-10,21700
2012-05-11,21600
2012-05-12,21100
2012-05-13,20500
2012-05-14,20200
2012-05-15,20200
2012-05-16,20000
2012-05-17,19700
2012-05-18,19800
2012-05-19,20100
2012-05-20,20900
2012-05-21,21800
2012-05-22,22700
2012-05-23,23900
2012-05-24,25800
2012-05-25,29700
2012-05-26,35000
2012-05-27,43300
2012-05-28,52600
2012-05-29,53700
2012-05-30,54600
2012-05-31,47800
2012-06-01,39900
2012-06-02,37700
2012-06-03,41200
2012-06-04,43800
2012-06-05,44300
2012-06-06,47600
2012-06-07,48300
2012-06-08,47600
2012-06-09,49800
2012-06-10,53600
2012-06-11,56000
2012-06-12,59700
2012-06-13,67900
2012-06-14,70800
2012-06-15,65800
2012-06-16,62700
2012-06-17,59300
2012-06-18,54700
2012-06-19,52500
2012-06-20,53000
2012-06-21,53900
2012-06-22,55300
2012-06-23,56500
2012-06-24,58900
2012-06-25,61300
2012-06-26,61800
2012-06-27,61500
2012-06-28,61000
2012-06-29,59400
2012-06-30,59600
2012-07-01,61500
2012-07-02,61600
2012-07-03,65600
2012-07-04,72100
2012-07-05,74900
2012-07-06,75300
2012-07-07,75300
2012-07-08,71500
2012-07-09,68900
2012-07-10,63900
2012-07-11,58300
2012-07-12,57300
2012-07-13,57600
2012-07-14,55900
2012-07-15,53100
2012-07-16,50900
2012-07-17,49400
2012-07-18,47600
2012-07-19,47000
2012-07-20,47800
2012-07-21,49300
2012-07-22,56100
2012-07-23,63100
2012-07-24,68300
2012-07-25,68000
2012-07-26,64300
2012-07-27,60600
2012-07-28,59600
2012-07-29,58900
2012-07-30,58700
2012-07-31,59000
2012-08-01,56200
2012-08-02,54000
2012-08-03,53500
2012-08-04,53800
2012-08-05,52000
2012-08-06,49100
2012-08-07,47000
2012-08-08,46500
2012-08-09,44900
2012-08-10,42700
2012-08-11,41400
2012-08-12,41400
2012-08-13,41600
2012-08-14,41900
2012-08-15,42300
2012-08-16,43800
2012-08-17,44300
2012-08-18,44100
2012-08-19,42600
2012-08-20,41400
2012-08-21,42200
2012-08-22,42200
2012-08-23,40200
2012-08-24,38700
2012-08-25,38100
2012-08-26,37500
2012-08-27,38500
2012-08-28,40400
2012-08-29,40100
2012-08-30,38600
2012-08-31,36500
2012-09-01,36400
2012-09-02,36800
2012-09-03,36700
2012-09-04,35600
2012-09-05,34600
2012-09-06,34800
2012-09-07,34200
2012-09-08,32400
2012-09-09,30600
2012-09-10,29100
2012-09-11,28000
2012-09-12,26800
2012-09-13,25700
2012-09-14,24900
2012-09-15,24200
2012-09-16,23400
2012-09-17,25000
2012-09-18,27900
2012-09-19,29300
2012-09-20,29600
2012-09-21,37700
2012-09-22,59000
2012-09-23,69000
2012-09-24,60000
2012-09-25,52000
2012-09-26,44000
2012-09-27,39000
2012-09-28,35000
2012-09-29,33000
2012-09-30,31000
2012-10-01,29000
2012-10-02,27500
2012-10-03,26600
2012-10-04,25300
2012-10-05,24300
2012-10-06,24000
2012-10-07,24900
2012-10-08,28900
2012-10-09,33000
2012-10-10,31000
2012-10-11,29100
2012-10-12,25700
2012-10-13,25000
2012-10-14,23500
2012-10-15,22500
2012-10-16,21500
2012-10-17,20500
2012-10-18,19200
2012-10-19,18000
2012-10-20,17000
2012-10-21,15000
2012-10-22,13200
2012-10-23,12700
2012-10-24,12200
2012-10-25,12500
2012-10-26,13100
2012-10-27,13400
2012-10-28,13600
2012-10-29,13700
2012-10-30,13800
2012-10-31,13600
2012-11-01,13300
2012-11-02,13000
2012-11-03,12900
2012-11-04,12700
2012-11-05,12500
2012-11-06,12200
2012-11-07,11800
2012-11-08,11300
2012-11-09,11000
2012-11-10,10900
2012-11-11,10900
2012-11-12,10800
2012-11-13,10800
2012-11-14,10800
2012-11-15,10700
2012-11-16,10600
2012-11-17,10500
2012-11-18,10300
2012-11-19,10000
2012-11-20,9900
2012-11-21,9700
2012-11-22,9500
2012-11-23,9400
2012-11-24,9300
2012-11-25,9200
