,"Discharge, cubic feet per second"
2016-04-02,8000
2016-04-03,8100
2016-04-04,8200
2016-04-05,8400
2016-04-06,8700
2016-04-07,9100
2016-04-08,9500
2016-04-09,10000
2016-04-10,10600
2016-04-11,11400
2016-04-12,12100
2016-04-13,12800
2016-04-14,13600
2016-04-15,14200
2016-04-16,14900
2016-04-17,15600
2016-04-18,16300
2016-04-19,17000
2016-04-20,17400
2016-04-21,17800
2016-04-22,17600
2016-04-23,17300
2016-04-24,17000
2016-04-25,16800
2016-04-26,17900
2016-04-27,19100
2016-04-28,20800
2016-04-29,21300
2016-04-30,21300
2016-05-01,21300
2016-05-02,20700
2016-05-03,20300
2016-05-04,20200
2016-05-05,20800
2016-05-06,21600
2016-05-07,20800
2016-05-08,20100
2016-05-09,19900
2016-05-10,20100
2016-05-11,20300
2016-05-12,20700
2016-05-13,21900
2016-05-14,23700
2016-05-15,26300
2016-05-16,29600
2016-05-17,32600
2016-05-18,33700
2016-05-19,33400
2016-05-20,30800
2016-05-21,29700
2016-05-22,29900
2016-05-23,30900
2016-05-24,32300
2016-05-25,31700
2016-05-26,30300
2016-05-27,28600
2016-05-28,27500
2016-05-29,27900
2016-05-30,28300
2016-05-31,27600
2016-06-01,27100
2016-06-02,27400
2016-06-03,28300
2016-06-04,29800
2016-06-05,31100
2016-06-06,33300
2016-06-07,34400
2016-06-08,34500
2016-06-09,33800
2016-06-10,33100
2016-06-11,33700
2016-06-12,35100
2016-06-13,37400
2016-06-14,40700
2016-06-15,43900
2016-06-16,41800
2016-06-17,39500
2016-06-18,39300
2016-06-19,41300
2016-06-20,44800
2016-06-21,46700
2016-06-22,47400
2016-06-23,45300
2016-06-24,44300
2016-06-25,45300
2016-06-26,46100
2016-06-27,47500
2016-06-28,48400
2016-06-29,48400
2016-06-30,49700
2016-07-01,51900
2016-07-02,57600
2016-07-03,61600
2016-07-04,68900
2016-07-05,72700
2016-07-06,72700
2016-07-07,72500
2016-07-08,71800
2016-07-09,70700
2016-07-10,68200
2016-07-11,66700
2016-07-12,66700
2016-07-13,67200
2016-07-14,67200
2016-07-15,69000
2016-07-16,71000
2016-07-17,74900
2016-07-18,76700
2016-07-19,76400
2016-07-20,80900
2016-07-21,86100
2016-07-22,90800
2016-07-23,94400
2016-07-24,96200
2016-07-25,96100
2016-07-26,93100
2016-07-27,90400
2016-07-28,87700
2016-07-29,85900
2016-07-30,88200
2016-07-31,92200
2016-08-01,93900
2016-08-02,92000
2016-08-03,88900
2016-08-04,88100
2016-08-05,87000
2016-08-06,85100
2016-08-07,84200
2016-08-08,87200
2016-08-09,91200
2016-08-10,91500
2016-08-11,87300
2016-08-12,80100
2016-08-13,76300
2016-08-14,76000
2016-08-15,77800
2016-08-16,73400
2016-08-17,67900
2016-08-18,64700
2016-08-19,63100
2016-08-20,60400
2016-08-21,57800
2016-08-22,57300
2016-08-23,58400
2016-08-24,59900
2016-08-25,61700
2016-08-26,65500
2016-08-27,67300
2016-08-28,68300
2016-08-29,66600
2016-08-30,63900
2016-08-31,59600
2016-09-01,55300
2016-09-02,51800
2016-09-03,48600
2016-09-04,45900
2016-09-05,43800
2016-09-06,44100
2016-09-07,44000
2016-09-08,44200
2016-09-09,42400
2016-09-10,40500
2016-09-11,39100
2016-09-12,37800
2016-09-13,38900
2016-09-14,46000
2016-09-15,48500
2016-09-16,47000
2016-09-17,43900
2016-09-18,41500
2016-09-19,39800
2016-09-20,37700
2016-09-21,35700
2016-09-22,34900
2016-09-23,35800
2016-09-24,36500
2016-09-25,34900
2016-09-26,33200
2016-09-27,31600
2016-09-28,30000
2016-09-29,28800
2016-09-30,27800
2016-10-01,27000
2016-10-02,26400
2016-10-03,25900
2016-10-04,25500
2016-10-05,24900
2016-10-06,24100
2016-10-07,23100
2016-10-08,22300
2016-10-09,21700
2016-10-10,21200
2016-10-11,20700
2016-10-12,20300
2016-10-13,20100
2016-10-14,19400
2016-10-15,18200
2016-10-16,17000
2016-10-17,15000
2016-10-18,13000
2016-10-19,12400
2016-10-20,12000
2016-10-21,11700
2016-10-22,11400
2016-10-23,11300
2016-10-24,11200
2016-10-25,11100
2016-10-26,11000
2016-10-27,10900
2016-10-28,11000
2016-10-29,11200
2016-10-30,11800
2016-10-31,12300
2016-11-01,12800
2016-11-02,13000
2016-11-03,13000
2016-11-04,12700
2016-11-05,12300
2016-11-06,11900
2016-11-07,11500
2016-11-08,11200
2016-11-09,10800
2016-11-10,10500
2016-11-11,10100
2016-11-12,9800
2016-11-13,9600
2016-11-14,9400
2016-11-15,9100
2016-11-16,8800
2016-11-17,8600
2016-11-18,8400
2016-11-19,8300
2016-11-20,8100
2016-11-21,8000
2016-11-22,7800
2016-11-23,7600
2016-11-24,7400
2016-11-25,7300
2016-11-26,7200
2016-11-27,7100
2016-11-28,6900
2016-11-29,6800
2016-11-30,6700
2016-12-01,6700
2016-12-02,6700
2016-12-03,6600
2016-12-04,6600
2016-12-05,6600
2016-12-06,6600
2016-12-07,6700
2016-12-08,6700
2016-12-09,6700
2016-12-10,6700
2016-12-11,6800
2016-12-12,6800
2016-12-13,6900
2016-12-14,7000
2016-12-15,7000
2016-12-16,7100
2016-12-17,7100
2016-12-18,7200
2016-12-19,7300
2016-12-20,7400
2016-12-21,7500
2016-12-22,7600
2016-12-23,7700
2016-12-24,7700
2016-12-25,7700
2016-12-26,7700
2016-12-27,7800
2016-12-28,7800
2016-12-29,7800
2016-12-30,7700
2016-12-31,7700
2017-01-01,7700
2017-01-02,7600
2017-01-03,7600
2017-01-04,7600
2017-01-05,7600
2017-01-06,7600
2017-01-07,7500
2017-01-08,7500
2017-01-09,7500
2017-01-10,7400
2017-01-11,7400
2017-01-12,7400
2017-01-13,7400
2017-01-14,7300
2017-01-15,7300
2017-01-16,7300
2017-01-17,7300
2017-01-18,7300
2017-01-19,7300
2017-01-20,7300
2017-01-21,7300
2017-01-22,7300
2017-01-23,7300
2017-01-24,7300
2017-01-25,7300
2017-01-26,7300
2017-01-27,7300
2017-01-28,7300
2017-01-29,7300
2017-01-30,7300
2017-01-31,7300
2017-02-01,7300
2017-02-02,7300
2017-02-03,7300
2017-02-04,7300
2017-02-05,7300
2017-02-06,7300
2017-02-07,7300
2017-02-08,7300
2017-02-09,7300
2017-02-10,7300
2017-02-11,7300
2017-02-12,7300
2017-02-13,7300
2017-02-14,7300
2017-02-15,7300
2017-02-16,7300
2017-02-17,7300
2017-02-18,7300
2017-02-19,7300
2017-02-20,7300
2017-02-21,7300
2017-02-22,7300
2017-02-23,7300
2017-02-24,7300
2017-02-25,7300
2017-02-26,7300
2017-02-27,7300
2017-02-28,7300
2017-03-01,7300
2017-03-02,7300
2017-03-03,7300
2017-03-04,7300
2017-03-05,7300
2017-03-06,7300
2017-03-07,7300
2017-03-08,7300
2017-03-09,7300
2017-03-10,7300
2017-03-11,7300
2017-03-12,7300
2017-03-13,7300
2017-03-14,7300
2017-03-15,7400
2017-03-16,7400
2017-03-17,7400
2017-03-18,7400
2017-03-19,7400
2017-03-20,7400
2017-03-21,7400
2017-03-22,7400
2017-03-23,7500
2017-03-24,7500
2017-03-25,7500
2017-03-26,7500
2017-03-27,7500
2017-03-28,7600
2017-03-29,7600
2017-03-30,7600
2017-03-31,7600
2017-04-01,7700
2017-04-02,7700
2017-04-03,7700
2017-04-04,7700
2017-04-05,7700
2017-04-06,7700
2017-04-07,7700
2017-04-08,7700
2017-04-09,7700
2017-04-10,7700
2017-04-11,7700
2017-04-12,7700
2017-04-13,7710
2017-04-14,7730
2017-04-15,7750
2017-04-16,7780
2017-04-17,7830
2017-04-18,7870
2017-04-19,7920
2017-04-20,7970
2017-04-21,8030
2017-04-22,8090
2017-04-23,8170
2017-04-24,8300
2017-04-25,8470
2017-04-26,8830
2017-04-27,9530
2017-04-28,10600
2017-04-29,12400
2017-04-30,15100
2017-05-01,19600
2017-05-02,24700
2017-05-03,29100
2017-05-04,31800
2017-05-05,31200
2017-05-06,29900
2017-05-07,30500
2017-05-08,32000
2017-05-09,33000
2017-05-10,35700
2017-05-11,37800
2017-05-12,39700
2017-05-13,40300
2017-05-14,38400
2017-05-15,38700
2017-05-16,42300
2017-05-17,44900
2017-05-18,42500
2017-05-19,37800
2017-05-20,34000
2017-05-21,30600
2017-05-22,28200
2017-05-23,27200
2017-05-24,26900
2017-05-25,28500
2017-05-26,27000
2017-05-27,25300
2017-05-28,23600
2017-05-29,22000
2017-05-30,21400
2017-05-31,21700
2017-06-01,21800
2017-06-02,21900
2017-06-03,22100
2017-06-04,22600
2017-06-05,23700
2017-06-06,25000
2017-06-07,25900
2017-06-08,26100
2017-06-09,26800
2017-06-10,29800
2017-06-11,35100
2017-06-12,42100
2017-06-13,50000
2017-06-14,53400
2017-06-15,50600
2017-06-16,45100
2017-06-17,41200
2017-06-18,38100
2017-06-19,36100
2017-06-20,36300
2017-06-21,37500
2017-06-22,37300
2017-06-23,39700
2017-06-24,41500
2017-06-25,41700
2017-06-26,44000
2017-06-27,46100
2017-06-28,45600
2017-06-29,47300
2017-06-30,48400
2017-07-01,47300
2017-07-02,46900
2017-07-03,47400
2017-07-04,50600
2017-07-05,56400
2017-07-06,62000
2017-07-07,66200
2017-07-08,68700
2017-07-09,68500
2017-07-10,70500
2017-07-11,69000
2017-07-12,65800
2017-07-13,68600
2017-07-14,70400
2017-07-15,71200
2017-07-16,69900
2017-07-17,68100
2017-07-18,67500
2017-07-19,66300
2017-07-20,65300
2017-07-21,63600
2017-07-22,62600
2017-07-23,61300
2017-07-24,61300
2017-07-25,63300
2017-07-26,65200
2017-07-27,63100
2017-07-28,61200
2017-07-29,62400
2017-07-30,62500
2017-07-31,63300
2017-08-01,64100
2017-08-02,63200
2017-08-03,62500
2017-08-04,63500
2017-08-05,66500
2017-08-06,66500
2017-08-07,65500
2017-08-08,64900
2017-08-09,65200
2017-08-10,62800
2017-08-11,60700
2017-08-12,59000
2017-08-13,57700
2017-08-14,59300
2017-08-15,61300
2017-08-16,63200
2017-08-17,63500
2017-08-18,62600
2017-08-19,56300
2017-08-20,48900
2017-08-21,45100
2017-08-22,43000
2017-08-23,41200
2017-08-24,39900
2017-08-25,39800
2017-08-26,39700
2017-08-27,38600
2017-08-28,39000
2017-08-29,39500
2017-08-30,39400
2017-08-31,40500
2017-09-01,41500
2017-09-02,40600
2017-09-03,38900
2017-09-04,35700
2017-09-05,33500
2017-09-06,33100
2017-09-07,33700
2017-09-08,33900
2017-09-09,32700
2017-09-10,31200
2017-09-11,30500
2017-09-12,30500
2017-09-13,30300
2017-09-14,29900
2017-09-15,29700
2017-09-16,29100
2017-09-17,28300
2017-09-18,27300
2017-09-19,26500
2017-09-20,26000
2017-09-21,25600
2017-09-22,25300
2017-09-23,25000
2017-09-24,25100
2017-09-25,25500
2017-09-26,25500
2017-09-27,25000
2017-09-28,24900
2017-09-29,25400
2017-09-30,26000
2017-10-01,26000
2017-10-02,25000
2017-10-03,24400
2017-10-04,24000
2017-10-05,24100
2017-10-06,25200
2017-10-07,25300
2017-10-08,24800
2017-10-09,24400
2017-10-10,24900
2017-10-11,25600
2017-10-12,25700
2017-10-13,26300
2017-10-14,25800
2017-10-15,25100
2017-10-16,24100
2017-10-17,23100
2017-10-18,22100
2017-10-19,20900
2017-10-20,18000
2017-10-21,14900
2017-10-22,12400
2017-10-23,11700
2017-10-24,11700
2017-10-25,12100
2017-10-26,13000
2017-10-27,13300
2017-10-28,13200
2017-10-29,12500
2017-10-30,11700
2017-10-31,11300
2017-11-01,10900
2017-11-02,10600
2017-11-03,10300
2017-11-04,10100
2017-11-05,9910
2017-11-06,9750
2017-11-07,9600
2017-11-08,9450
2017-11-09,9340
2017-11-10,9240
2017-11-11,9180
2017-11-12,9120
2017-11-13,9030
2017-11-14,8950
2017-11-15,8880
2017-11-16,8780
2017-11-17,8700
2017-11-18,8620
2017-11-19,8560
2017-11-20,8510
2017-11-21,8440
2017-11-22,8350
2017-11-23,8310
2017-11-24,8240
2017-11-25,8180
2017-11-26,8130
2017-11-27,8080
2017-11-28,8040
2017-11-29,8010
2017-11-30,7990
2017-12-01,7940
2017-12-02,7920
2017-12-03,7880
2017-12-04,7850
2017-12-05,7830
2017-12-06,7810
2017-12-07,7800
2017-12-08,7780
2017-12-09,7770
2017-12-10,7760
2017-12-11,7760
2017-12-12,7750
2017-12-13,7740
2017-12-14,7730
2017-12-15,7720
2017-12-16,7710
2017-12-17,7710
2017-12-18,7700
2017-12-19,7690
2017-12-20,7690
2017-12-21,7680
2017-12-22,7680
2017-12-23,7670
2017-12-24,7660
2017-12-25,7660
2017-12-26,7650
2017-12-27,7640
2017-12-28,7640
2017-12-29,7630
2017-12-30,7630
2017-12-31,7620
2018-01-01,7610
2018-01-02,7610
2018-01-03,7600
2018-01-04,7600
2018-01-05,7590
2018-01-06,7580
2018-01-07,7580
2018-01-08,7570
2018-01-09,7570
2018-01-10,7560
2018-01-11,7560
2018-01-12,7550
2018-01-13,7550
2018-01-14,7540
2018-01-15,7540
2018-01-16,7540
2018-01-17,7540
2018-01-18,7530
2018-01-19,7530
2018-01-20,7530
2018-01-21,7530
2018-01-22,7530
2018-01-23,7530
2018-01-24,7530
2018-01-25,7530
2018-01-26,7530
2018-01-27,7530
2018-01-28,7530
2018-01-29,7530
2018-01-30,7530
2018-01-31,7530
2018-02-01,7540
2018-02-02,7540
2018-02-03,7540
2018-02-04,7540
2018-02-05,7540
2018-02-06,7540
2018-02-07,7540
2018-02-08,7540
2018-02-09,7550
2018-02-10,7550
2018-02-11,7550
2018-02-12,7550
2018-02-13,7550
2018-02-14,7560
2018-02-15,7560
2018-02-16,7560
2018-02-17,7560
2018-02-18,7570
2018-02-19,7570
2018-02-20,7570
2018-02-21,7570
2018-02-22,7580
2018-02-23,7580
2018-02-24,7580
2018-02-25,7580
2018-02-26,7580
2018-02-27,7590
2018-02-28,7590
2018-03-01,7590
2018-03-02,7590
2018-03-03,7590
2018-03-04,7600
2018-03-05,7600
2018-03-06,7600
2018-03-07,7600
2018-03-08,7610
2018-03-09,7610
2018-03-10,7610
2018-03-11,7610
2018-03-12,7620
2018-03-13,7620
2018-03-14,7620
2018-03-15,7620
2018-03-16,7630
2018-03-17,7630
2018-03-18,7630
2018-03-19,7630
2018-03-20,7630
2018-03-21,7640
2018-03-22,7640
2018-03-23,7650
2018-03-24,7650
2018-03-25,7650
2018-03-26,7650
2018-03-27,7660
2018-03-28,7660
2018-03-29,7660
2018-03-30,7670
2018-03-31,7670
2018-04-01,7670
2018-04-02,7670
2018-04-03,7670
2018-04-04,7680
2018-04-05,7680
2018-04-06,7680
2018-04-07,7680
2018-04-08,7700
2018-04-09,7740
2018-04-10,7800
2018-04-11,7880
2018-04-12,7970
2018-04-13,8070
2018-04-14,8160
2018-04-15,8260
2018-04-16,8340
2018-04-17,8420
2018-04-18,8500
2018-04-19,8590
2018-04-20,8690
2018-04-21,8800
2018-04-22,8970
2018-04-23,9170
2018-04-24,9410
2018-04-25,9760
2018-04-26,10200
2018-04-27,10800
2018-04-28,11500
2018-04-29,12400
2018-04-30,13300
2018-05-01,14000
2018-05-02,14400
2018-05-03,14800
2018-05-04,15300
2018-05-05,16300
2018-05-06,18100
2018-05-07,20200
2018-05-08,22500
2018-05-09,25300
2018-05-10,29400
2018-05-11,37700
2018-05-12,48900
2018-05-13,51600
2018-05-14,46900
2018-05-15,39800
2018-05-16,36700
2018-05-17,35300
2018-05-18,34200
2018-05-19,33500
2018-05-20,35600
2018-05-21,39300
2018-05-22,41900
2018-05-23,46600
2018-05-24,49400
2018-05-25,49800
2018-05-26,49400
2018-05-27,47400
2018-05-28,45000
2018-05-29,43400
2018-05-30,42200
2018-05-31,40500
2018-06-01,39300
2018-06-02,39000
2018-06-03,39900
2018-06-04,41100
2018-06-05,42300
2018-06-06,44200
2018-06-07,46600
2018-06-08,47500
2018-06-09,47200
2018-06-10,48600
2018-06-11,51300
2018-06-12,51500
2018-06-13,48900
2018-06-14,45400
2018-06-15,42400
2018-06-16,41100
2018-06-17,41300
2018-06-18,43700
2018-06-19,47700
2018-06-20,51500
2018-06-21,52500
2018-06-22,54700
2018-06-23,55800
2018-06-24,54900
2018-06-25,54200
2018-06-26,53100
2018-06-27,52200
2018-06-28,51200
2018-06-29,51700
2018-06-30,52100
2018-07-01,53700
2018-07-02,60100
2018-07-03,66500
2018-07-04,67800
2018-07-05,67700
2018-07-06,67500
2018-07-07,66000
2018-07-08,64300
2018-07-09,65200
2018-07-10,69100
2018-07-11,70700
2018-07-12,68200
2018-07-13,63600
2018-07-14,60300
2018-07-15,57200
2018-07-16,53900
2018-07-17,51200
2018-07-18,50300
2018-07-19,49800
2018-07-20,48400
2018-07-21,48000
2018-07-22,49300
2018-07-23,51000
2018-07-24,52600
2018-07-25,53500
2018-07-26,54300
2018-07-27,55400
2018-07-28,57700
2018-07-29,59400
2018-07-30,58700
2018-07-31,57800
2018-08-01,58300
2018-08-02,59400
2018-08-03,60100
2018-08-04,59600
2018-08-05,58600
2018-08-06,63700
2018-08-07,75600
2018-08-08,87700
2018-08-09,88900
2018-08-10,79800
2018-08-11,68100
2018-08-12,61900
2018-08-13,60100
2018-08-14,62400
2018-08-15,64500
2018-08-16,65900
2018-08-17,63500
2018-08-18,61000
2018-08-19,58800
2018-08-20,56600
2018-08-21,53200
2018-08-22,54900
2018-08-23,64800
2018-08-24,71600
2018-08-25,71700
2018-08-26,67200
2018-08-27,63800
2018-08-28,63100
2018-08-29,64500
2018-08-30,63600
2018-08-31,63700
2018-09-01,63900
2018-09-02,63200
2018-09-03,60700
2018-09-04,60000
2018-09-05,59800
2018-09-06,56700
2018-09-07,54200
2018-09-08,51900
2018-09-09,49800
2018-09-10,47700
2018-09-11,45800
2018-09-12,44200
2018-09-13,42700
2018-09-14,41500
2018-09-15,41100
2018-09-16,40200
2018-09-17,39100
2018-09-18,38300
2018-09-19,37500
2018-09-20,37200
2018-09-21,37100
2018-09-22,36500
2018-09-23,36400
2018-09-24,36800
2018-09-25,37300
2018-09-26,38700
2018-09-27,39100
2018-09-28,38300
2018-09-29,36400
2018-09-30,34700
2018-10-01,32800
2018-10-02,31600
2018-10-03,30600
2018-10-04,29600
2018-10-05,28600
2018-10-06,27700
2018-10-07,27100
2018-10-08,26000
2018-10-09,25000
2018-10-10,23900
2018-10-11,23800
2018-10-12,23900
2018-10-13,23900
2018-10-14,23800
2018-10-15,23400
2018-10-16,23200
2018-10-17,23800
2018-10-18,24000
2018-10-19,23800
2018-10-20,23400
2018-10-21,23200
2018-10-22,22700
2018-10-23,22000
2018-10-24,21400
2018-10-25,21100
2018-10-26,20700
2018-10-27,20300
2018-10-28,19700
2018-10-29,18600
2018-10-30,17500
2018-10-31,15400
2018-11-01,11900
2018-11-02,10900
2018-11-03,10300
2018-11-04,9910
2018-11-05,9700
2018-11-06,9730
2018-11-07,10100
2018-11-08,10600
2018-11-09,11600
2018-11-10,12500
2018-11-11,13100
2018-11-12,13600
2018-11-13,14000
2018-11-14,14000
2018-11-15,14000
2018-11-16,13900
2018-11-17,13600
2018-11-18,13200
2018-11-19,12900
2018-11-20,12600
2018-11-21,12300
2018-11-22,11900
2018-11-23,11600
2018-11-24,11300
2018-11-25,11000
2018-11-26,10700
2018-11-27,10500
2018-11-28,10300
2018-11-29,10100
2018-11-30,9950
2018-12-01,9780
2018-12-02,9630
2018-12-03,9510
2018-12-04,9390
2018-12-05,9300
2018-12-06,9210
2018-12-07,9130
2018-12-08,9060
2018-12-09,8980
2018-12-10,8910
2018-12-11,8870
2018-12-12,8820
2018-12-13,8760
2018-12-14,8710
2018-12-15,8670
2018-12-16,8630
2018-12-17,8590
2018-12-18,8560
2018-12-19,8520
2018-12-20,8480
2018-12-21,8420
2018-12-22,8360
2018-12-23,8310
2018-12-24,8270
2018-12-25,8220
2018-12-26,8170
2018-12-27,8120
2018-12-28,8070
2018-12-29,8030
2018-12-30,7980
2018-12-31,7950
2019-01-01,7910
2019-01-02,7870
2019-01-03,7830
2019-01-04,7800
2019-01-05,7760
2019-01-06,7730
2019-01-07,7680
2019-01-08,7660
2019-01-09,7620
2019-01-10,7590
2019-01-11,7550
2019-01-12,7520
2019-01-13,7520
2019-01-14,7490
2019-01-15,7460
2019-01-16,7440
2019-01-17,7420
2019-01-18,7410
2019-01-19,7400
2019-01-20,7390
2019-01-21,7380
2019-01-22,7360
2019-01-23,7340
2019-01-24,7320
2019-01-25,7300
2019-01-26,7290
2019-01-27,7280
2019-01-28,7270
2019-01-29,7260
2019-01-30,7250
2019-01-31,7250
2019-02-01,7250
2019-02-02,7250
2019-02-03,7230
2019-02-04,7220
2019-02-05,7190
2019-02-06,7170
2019-02-07,7170
2019-02-08,7160
2019-02-09,7160
2019-02-10,7160
2019-02-11,7150
2019-02-12,7150
2019-02-13,7150
2019-02-14,7150
2019-02-15,7150
2019-02-16,7150
2019-02-17,7150
2019-02-18,7150
2019-02-19,7150
2019-02-20,7140
2019-02-21,7140
2019-02-22,7150
2019-02-23,7150
2019-02-24,7150
2019-02-25,7150
2019-02-26,7150
2019-02-27,7150
2019-02-28,7150
2019-03-01,7160
2019-03-02,7160
2019-03-03,7170
2019-03-04,7180
2019-03-05,7190
2019-03-06,7200
2019-03-07,7220
2019-03-08,7240
2019-03-09,7260
2019-03-10,7290
2019-03-11,7330
2019-03-12,7400
2019-03-13,7470
2019-03-14,7570
2019-03-15,7690
2019-03-16,7810
2019-03-17,7980
2019-03-18,8120
2019-03-19,8290
2019-03-20,8490
2019-03-21,8630
2019-03-22,8810
2019-03-23,8960
2019-03-24,9030
2019-03-25,9090
2019-03-26,9230
2019-03-27,9440
2019-03-28,9610
2019-03-29,9770
2019-03-30,9890
2019-03-31,9940
2019-04-01,9850
2019-04-02,9660
2019-04-03,9550
2019-04-04,9460
2019-04-05,9410
2019-04-06,9440
2019-04-07,9550
2019-04-08,9810
2019-04-09,10100
2019-04-10,10500
2019-04-11,10900
2019-04-12,11400
2019-04-13,12100
2019-04-14,12700
2019-04-15,13200
2019-04-16,13500
2019-04-17,13700
2019-04-18,13800
2019-04-19,13800
2019-04-20,13500
2019-04-21,13300
2019-04-22,13100
2019-04-23,13000
2019-04-24,12900
2019-04-25,12900
2019-04-26,13100
2019-04-27,13200
2019-04-28,13000
2019-04-29,12500
2019-04-30,12700
2019-05-01,13800
2019-05-02,14700
2019-05-03,15200
2019-05-04,15800
2019-05-05,15800
2019-05-06,15300
2019-05-07,14900
2019-05-08,15100
2019-05-09,16300
2019-05-10,17800
2019-05-11,20000
2019-05-12,20800
2019-05-13,19700
2019-05-14,19000
2019-05-15,19000
2019-05-16,19800
2019-05-17,21000
2019-05-18,22200
2019-05-19,22500
2019-05-20,22300
2019-05-21,22700
2019-05-22,22600
2019-05-23,22500
2019-05-24,23300
2019-05-25,24300
2019-05-26,26800
2019-05-27,28200
2019-05-28,30100
2019-05-29,30100
2019-05-30,29200
2019-05-31,28400
2019-06-01,29700
2019-06-02,34100
2019-06-03,38100
2019-06-04,41100
2019-06-05,38900
2019-06-06,34600
2019-06-07,31800
2019-06-08,30800
2019-06-09,30600
2019-06-10,31200
2019-06-11,32100
2019-06-12,32800
2019-06-13,33200
2019-06-14,34600
2019-06-15,35500
2019-06-16,36200
2019-06-17,36900
2019-06-18,38800
2019-06-19,40100
2019-06-20,41500
2019-06-21,43100
2019-06-22,45200
2019-06-23,47700
2019-06-24,51200
2019-06-25,53400
2019-06-26,53800
2019-06-27,52100
2019-06-28,52300
2019-06-29,53800
2019-06-30,57300
2019-07-01,61800
2019-07-02,64500
2019-07-03,65000
2019-07-04,62700
2019-07-05,61700
2019-07-06,64100
2019-07-07,65600
2019-07-08,65900
2019-07-09,66600
2019-07-10,67200
2019-07-11,66400
2019-07-12,67500
2019-07-13,68200
2019-07-14,66300
2019-07-15,63400
2019-07-16,64200
2019-07-17,65000
2019-07-18,62500
2019-07-19,61000
2019-07-20,61600
2019-07-21,61900
2019-07-22,60800
2019-07-23,60800
2019-07-24,62900
2019-07-25,66900
2019-07-26,68600
2019-07-27,67700
2019-07-28,66000
2019-07-29,63900
2019-07-30,63500
2019-07-31,64700
2019-08-01,64600
